
Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
601,2015-08-19,SDP,ATL,W 3-2,34,31,3,8,3,0,1,3,2,0,9,1,0,0,0,0,1,0,0.123,-0.453,1.302,7,14,20732,163,77,ltor,7,,sunny
602,2015-08-19,STL,SFG,W 4-3,35,32,4,9,1,0,2,4,2,0,7,0,1,0,0,0,0,0,0.327,0.216,1.206,7,15,40278,174,70,tocf,9,,
603,2015-08-19,TEX,SEA,W 7-2,40,34,7,11,0,0,3,7,4,0,5,2,0,0,0,1,1,0,0.265,2.910,.591,9,9,20142,159,90,,9,,cloudy
604,2015-08-18,LAA,CHW,W 5-3,32,30,5,5,2,0,2,4,1,0,3,1,0,0,1,0,0,0,0.225,1.340,.434,3,10,37114,149,76,tocf,9,,sunny
605,2015-08-18,BAL,NYM,L 3-5,37,33,3,6,1,0,1,3,4,0,7,0,0,0,1,0,0,0,-0.441,-1.510,1.209,7,11,34068,179,81,tolf,2,,
606,2015-08-18,BOS,CLE,W 9-1,42,39,9,16,4,1,0,9,3,0,2,0,0,0,0,0,0,0,0.328,4.873,.353,9,10,31907,176,73,rtol,6,,
607,2015-08-18,CHC,DET,L 8-10,41,36,8,11,2,1,2,7,5,0,9,0,0,0,0,1,0,0,0.240,3.821,1.123,6,18,39684,216,79,rtol,14,,overcast
608,2015-08-18,COL,WSN,L 6-15,42,40,6,13,4,0,3,5,1,0,9,1,0,0,1,0,0,0,0.176,1.067,1.035,9,18,24320,225,67,rtol,13,,
609,2015-08-18,MIL,MIA,L 6-9,43,38,6,11,4,0,0,5,4,0,12,1,0,0,3,2,1,1,-0.061,1.781,.653,10,17,31937,218,80,,0,none,dome
610,2015-08-18,NYY,MIN,W 8-4,39,34,8,11,3,0,1,8,3,0,7,1,1,0,0,0,1,0,0.552,4.187,1.102,7,11,38007,196,82,rtol,11,,sunny
611,2015-08-18,PHI,TOR,L 5-8,37,34,5,11,1,1,1,4,2,1,7,0,1,0,0,2,0,1,0.201,0.822,1.098,5,17,26547,190,85,tocf,12,,cloudy
612,2015-08-18,SDP,ATL,W 9-0,40,33,9,13,3,1,3,9,6,0,2,0,0,1,0,1,0,0,0.177,5.545,.531,7,12,28395,194,78,ltor,8,,sunny
613,2015-08-18,STL,SFG,L 0-2,31,29,0,2,1,0,0,0,2,0,11,0,0,0,0,0,1,0,-0.606,-4.258,1.197,4,14,40297,189,75,tolf,6,drizzle,
614,2015-08-18,TEX,SEA,L 2-3,32,30,2,5,0,0,1,2,1,0,8,0,0,1,0,0,0,1,-0.583,-2.601,1.309,3,9,26870,164,97,rtol,11,,cloudy
615,2015-08-17,LAA,CHW,W 2-1,29,25,2,4,0,0,2,2,3,0,5,0,1,0,0,1,0,1,-0.072,-1.659,.903,3,9,36431,152,79,torf,6,,sunny
616,2015-08-17,BAL,OAK,W 4-2,36,34,4,7,1,0,1,4,2,0,7,0,0,0,3,0,0,0,0.175,-0.007,.784,8,9,22766,155,87,tocf,2,,cloudy
617,2015-08-17,BOS,CLE,L 2-8,35,32,2,6,2,0,1,2,3,0,5,0,0,0,0,1,0,0,-0.138,-2.640,.355,6,11,32701,192,89,tolf,10,,cloudy
618,2015-08-17,HOU,TBR,L 2-9,38,35,2,7,0,0,1,1,3,0,8,0,0,0,1,0,0,0,-0.172,-2.380,.679,9,12,16256,203,73,,0,none,dome
619,2015-08-17,MIL,MIA,L 2-6,38,33,2,7,3,0,0,2,4,0,5,0,1,0,1,1,0,0,-0.209,-2.219,.894,9,14,21910,171,82,,0,none,dome
620,2015-08-17,PIT,ARI,L 1-4,37,34,1,7,2,0,1,1,3,0,7,0,0,0,1,1,0,0,-0.333,-3.097,1.076,9,15,27365,207,88,tocf,6,,cloudy
621,2015-08-17,SDP,ATL,W 5-3,33,28,5,9,1,0,2,5,4,0,4,0,1,0,0,2,0,0,0.213,1.544,.672,4,14,23716,178,80,ltor,7,,
622,2015-08-17,STL,SFG,W 2-1,35,28,2,6,0,1,1,2,6,1,6,0,1,0,0,0,0,1,-0.027,-1.785,1.234,9,13,40088,160,81,rtol,6,,cloudy
623,2015-08-17,TEX,SEA,W 4-3,40,34,4,13,3,0,0,4,2,0,4,2,1,1,0,2,0,0,0.241,0.986,1.528,11,11,19880,171,96,fromlf,7,,cloudy
624,2015-08-16,BAL,OAK,W 18-2,51,48,18,26,7,0,4,18,3,0,8,0,0,0,0,1,0,0,0.445,13.993,.309,9,13,28228,189,86,ltor,4,,sunny
625,2015-08-16,CHW,CHC,W 3-1,35,32,3,8,2,0,3,3,3,0,9,0,0,0,0,0,0,1,0.076,-0.731,.533,8,9,39475,166,94,fromrf,9,,cloudy
Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
626,2015-08-16,COL,SDP,W 5-0,31,30,5,7,2,0,1,5,1,1,10,0,0,0,1,2,0,0,-0.008,0.614,.675,2,10,28927,151,85,rtol,6,,cloudy
627,2015-08-16,HOU,DET,W 6-5,37,33,6,9,0,2,2,6,4,0,5,0,0,0,0,1,0,1,0.550,1.845,1.035,5,9,29969,205,73,,0,none,dome
628,2015-08-16,LAD,CIN,W 2-1,31,28,2,7,0,0,2,2,2,0,10,0,1,0,0,1,0,1,-0.030,-1.562,.995,5,13,47388,161,98,tolf,3,,sunny
629,2015-08-16,MIL,PHI,W 6-1,36,33,6,8,1,1,1,6,3,0,6,0,0,0,1,0,0,0,0.192,2.250,.523,6,13,33920,187,87,ltor,9,,cloudy
630,2015-08-16,MIN,CLE,W 4-1,35,32,4,9,1,1,1,4,3,0,7,0,0,0,0,0,1,0,-0.006,-0.008,.890,7,9,27244,168,82,tolf,6,,
631,2015-08-16,NYM,PIT,L 1-8,35,32,1,4,1,0,1,1,2,1,12,1,0,0,0,0,0,0,-0.249,-2.967,.924,7,16,40250,203,90,tolf,4,,sunny
632,2015-08-16,SFG,WSN,W 5-0,32,30,5,7,3,0,2,5,2,0,9,0,0,0,0,1,0,0,0.186,1.404,.494,3,10,41904,137,85,,8,,cloudy
633,2015-08-16,STL,MIA,L 4-6,35,33,4,6,0,0,3,4,2,0,9,0,0,0,0,0,0,0,-0.098,-0.258,.923,4,16,43826,193,89,rtol,9,,cloudy
634,2015-08-16,TEX,TBR,W 5-3,36,32,5,9,2,0,2,5,2,0,8,1,0,1,0,0,1,0,0.247,0.911,.812,7,9,29167,184,94,,3,,cloudy
635,2015-08-16,TOR,NYY,W 3-1,33,29,3,7,1,0,1,3,4,0,12,0,0,0,0,0,0,0,0.068,-0.858,.579,6,9,46792,161,75,ltor,6,,sunny
636,2015-08-15,ATL,ARI,L 4-8,38,35,4,7,3,0,1,4,3,0,11,0,0,0,1,0,0,0,-0.193,0.033,.460,7,16,29624,180,88,rtol,5,,cloudy
637,2015-08-15,BAL,OAK,W 4-3,31,29,4,6,0,0,3,4,1,0,6,1,0,0,0,2,0,0,0.195,-0.405,1.151,1,9,44028,145,85,tolf,2,,sunny
638,2015-08-15,BOS,SEA,W 22-10,57,47,22,26,7,0,4,22,6,0,3,1,0,3,1,1,1,0,0.452,17.874,.245,11,11,36027,201,84,tolf,8,,
639,2015-08-15,CHW,CHC,L 3-6,38,34,3,6,4,0,0,3,3,0,8,1,0,0,1,0,1,0,-0.190,-1.199,1.059,8,10,39579,215,84,torf,7,,sunny
640,2015-08-15,COL,SDP,L 5-7,36,32,5,10,1,0,0,5,2,0,5,0,1,1,1,0,1,3,0.180,0.066,1.116,4,16,37554,193,91,ltor,5,,
641,2015-08-15,KCR,LAA,W 9-4,43,37,9,14,7,0,1,9,5,0,5,0,1,0,1,1,2,0,0.437,4.990,.458,10,9,39251,175,88,ltor,8,,sunny
642,2015-08-15,LAD,CIN,W 8-3,38,31,8,12,0,0,4,8,5,0,2,0,2,0,1,3,1,0,0.575,4.439,.621,6,12,46807,168,90,tocf,9,,sunny
643,2015-08-15,MIL,PHI,W 4-2,35,34,4,10,2,0,0,3,1,1,7,0,0,0,0,0,1,0,0.166,0.253,1.138,7,14,39204,178,85,fromlf,8,,cloudy
644,2015-08-15,MIN,CLE,W 4-1,31,30,4,6,0,0,3,4,1,0,6,0,0,0,1,1,0,0,-0.005,-0.009,.654,3,9,30601,147,89,rtol,13,,sunny
