
Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
301,2012-09-10,SDP,STL,W 11-3,48,39,11,17,4,1,1,10,8,0,10,0,1,0,0,2,0,0,0.469,7.545,.694,13,16,18081,200,72,,4,,cloudy
302,2012-09-09,LAA,DET,W 3-2,32,31,3,7,2,0,2,3,1,0,7,0,0,0,0,0,0,0,0.031,-0.723,.535,5,10,38216,165,91,tocf,4,,cloudy
303,2012-09-09,BAL,NYY,L 3-13,34,30,3,4,1,0,0,3,3,0,10,1,0,0,0,1,1,0,-0.152,-1.549,.825,4,13,40346,202,74,tocf,3,,
304,2012-09-09,BOS,TOR,L 3-4,34,31,3,8,2,0,2,3,2,0,4,0,1,0,0,1,0,0,-0.365,-1.641,1.428,4,11,37226,183,67,torf,10,,
305,2012-09-09,CIN,HOU,L 1-5,34,32,1,5,1,1,0,1,2,0,14,0,0,0,0,0,1,0,-0.290,-3.451,.637,6,14,33438,187,74,rtol,9,,sunny
306,2012-09-09,MIN,CLE,W 8-7,40,39,8,12,1,1,2,8,1,1,7,0,0,0,1,0,4,0,0.844,3.732,1.573,6,9,30219,206,71,rtol,4,,cloudy
307,2012-09-09 (1),PHI,COL,W 3-2,41,33,3,7,2,0,0,3,8,2,5,0,0,0,0,0,0,0,0.059,-0.609,1.911,12,15,41813,192,76,fromlf,5,,cloudy
308,2012-09-09 (2),PHI,COL,W 7-4,41,40,7,14,2,0,1,7,1,0,6,0,0,0,4,1,0,0,0.520,3.118,1.014,10,22,40394,192,77,ltor,10,,cloudy
309,2012-09-09,PIT,CHC,L 2-4,42,34,2,7,0,1,1,1,8,2,8,0,0,0,1,1,0,0,-0.240,-2.068,2.037,13,17,28671,204,67,tolf,4,,
310,2012-09-09,SDP,ARI,W 8-2,36,31,8,9,2,0,3,8,4,0,6,0,0,1,1,1,0,0,0.193,4.544,.657,4,17,21037,187,75,ltor,8,,cloudy
311,2012-09-09,SEA,OAK,L 2-4,36,36,2,9,1,1,1,2,0,0,12,0,0,0,0,0,2,0,-0.436,-2.097,1.521,7,14,14403,174,64,fromrf,1,,dome
312,2012-09-09,SFG,LAD,W 4-0,33,29,4,7,2,1,1,4,3,1,6,0,0,1,0,0,1,1,0.166,0.615,.542,5,14,41517,190,64,torf,13,,sunny
313,2012-09-09,TBR,TEX,W 6-0,37,35,6,13,1,0,4,6,2,0,4,0,0,0,0,2,0,0,0.286,2.232,.379,7,10,20522,135,72,fromrf,0,,dome
314,2012-09-09,WSN,MIA,L 0-8,31,30,0,4,1,0,0,0,1,0,6,0,0,0,1,2,0,0,-0.202,-4.318,.303,4,18,24396,176,74,fromlf,7,,cloudy
315,2012-09-08,LAA,DET,W 6-1,35,33,6,11,5,0,1,6,2,0,3,0,0,0,0,1,1,1,0.329,2.278,.300,5,10,41154,157,80,tocf,8,,cloudy
316,2012-09-08,BAL,NYY,W 5-4,34,32,5,8,3,0,3,5,1,0,6,1,0,0,0,0,1,0,0.213,0.954,.603,5,10,46067,192,67,tocf,5,rain,
317,2012-09-08,BOS,TOR,L 2-9,34,31,2,6,0,0,0,2,2,0,8,1,0,0,0,1,0,0,-0.220,-2.642,.654,5,9,37107,175,77,tolf,19,,
318,2012-09-08,CHW,KCR,W 5-4,36,32,5,8,2,0,3,5,4,0,8,0,0,0,0,0,0,0,0.223,0.875,.485,7,10,26227,168,70,tocf,15,,cloudy
319,2012-09-08,CIN,HOU,W 5-1,38,31,5,8,1,0,2,4,5,1,7,2,0,0,0,0,2,0,0.180,1.046,.676,9,13,35018,196,73,,7,,cloudy
320,2012-09-08,MIN,CLE,W 3-0,36,28,3,7,0,0,0,3,5,0,5,2,0,1,0,2,3,0,0.071,-0.882,.793,9,10,33698,178,70,ltor,19,,cloudy
321,2012-09-08,NYM,ATL,L 3-11,36,34,3,8,1,0,1,3,2,0,7,0,0,0,0,1,0,0,-0.124,-1.065,.444,6,20,25603,182,83,tolf,26,,cloudy
322,2012-09-08,PIT,CHC,L 3-4,34,31,3,4,1,0,0,3,1,0,9,1,1,0,1,0,0,0,-0.299,-1.065,1.384,4,17,35661,176,66,tolf,11,,cloudy
323,2012-09-08,SDP,ARI,L 5-8,40,36,5,9,2,0,1,5,4,0,11,0,0,0,0,0,2,0,0.029,1.110,1.238,8,16,25514,190,71,ltor,9,,cloudy
324,2012-09-08,SEA,OAK,L 1-6,37,35,1,7,1,0,0,1,1,0,6,1,0,0,1,0,0,0,-0.195,-3.097,.872,9,10,23177,187,75,,0,,cloudy
325,2012-09-08,SFG,LAD,L 2-3,36,29,2,6,3,0,0,2,5,2,4,0,2,0,0,1,0,0,-0.238,-1.807,1.512,7,13,41791,173,63,torf,10,,cloudy
Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
326,2012-09-08,STL,MIL,L 3-6,40,34,3,9,3,1,0,3,5,0,9,0,0,1,0,1,1,0,-0.261,-1.189,1.484,10,19,40422,212,73,torf,10,,sunny
327,2012-09-07,LAA,DET,W 3-2,34,34,3,8,3,1,0,3,0,0,9,0,0,0,0,0,0,0,0.053,-0.770,1.266,5,11,40104,169,81,tocf,3,,cloudy
328,2012-09-07,BAL,NYY,L 5-8,36,36,5,8,2,0,3,5,0,0,8,0,0,0,1,0,0,0,-0.224,0.449,.593,4,9,40861,165,83,fromrf,8,,sunny
329,2012-09-07,BOS,TOR,L 5-7,37,33,5,7,1,0,2,5,4,0,3,0,0,0,1,1,2,0,-0.266,0.358,.830,5,11,37156,188,77,fromcf,11,,
330,2012-09-07,CHW,KCR,L 5-7,42,37,5,12,2,1,3,5,2,1,10,2,1,0,0,0,0,0,0.044,0.359,1.622,10,13,26660,182,63,tocf,12,,
331,2012-09-07,CIN,HOU,L 3-5,38,34,3,10,0,1,0,3,4,1,7,0,0,0,0,2,0,0,-0.122,-1.450,1.293,8,14,23785,196,80,rtol,6,,overcast
332,2012-09-07,MIN,CLE,L 6-7,38,31,6,7,3,0,0,6,4,1,9,0,1,2,0,0,0,0,-0.092,1.631,1.368,5,11,30111,201,64,ltor,18,,overcast
333,2012-09-07,NYM,ATL,L 0-3,38,33,0,5,0,0,0,0,5,0,11,0,0,0,1,0,0,0,-0.558,-4.068,1.584,11,16,24071,176,81,tolf,10,,
334,2012-09-07,PHI,COL,W 3-2,40,33,3,10,2,0,0,3,5,2,10,0,2,0,0,0,2,0,0.196,-0.197,1.894,12,17,42028,200,83,tocf,7,,cloudy
335,2012-09-07,PIT,CHC,L 2-12,35,29,2,4,2,0,0,2,5,0,9,0,0,1,0,1,0,0,-0.215,-2.067,.308,6,17,32699,214,83,rtol,6,,
336,2012-09-07,SDP,ARI,W 6-5,33,31,6,7,1,0,2,6,2,0,10,0,0,0,0,0,0,0,0.500,2.544,.562,3,17,25403,167,71,ltor,9,,cloudy
337,2012-09-07,SEA,OAK,L 1-6,37,34,1,7,0,0,0,1,3,0,10,0,0,0,0,0,0,0,-0.159,-3.098,.649,9,11,17128,179,75,rtol,3,,sunny
338,2012-09-07,SFG,LAD,W 5-2,38,31,5,10,0,0,0,5,4,2,4,0,3,0,0,0,2,0,0.337,1.615,1.348,9,15,41666,185,59,torf,10,,sunny
339,2012-09-06,ATL,COL,W 1-0,34,30,1,7,1,0,0,0,3,0,8,0,1,0,0,0,0,0,-0.236,-2.882,1.091,9,13,19313,171,77,ltor,5,,
340,2012-09-06,BAL,NYY,W 10-6,37,35,10,11,0,0,6,10,2,0,7,0,0,0,0,0,0,0,0.676,5.955,.426,3,9,46298,189,80,tocf,3,,cloudy
341,2012-09-06,MIA,MIL,W 6-2,36,35,6,12,6,0,0,5,0,0,7,0,0,1,1,0,2,0,0.218,2.118,.455,6,13,18707,173,72,,0,none,dome
342,2012-09-06,WSN,CHC,W 9-2,44,35,9,12,1,1,2,8,7,1,6,1,1,0,1,1,2,0,0.467,5.163,.468,11,14,22447,201,79,tolf,3,,sunny
343,2012-09-05,ATL,COL,W 1-0,33,25,1,4,0,0,0,0,7,1,4,0,1,0,0,2,1,0,-0.230,-2.884,1.115,8,13,16714,168,81,fromlf,6,,cloudy
