
Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
601,2014-08-12,SDP,COL,W 4-1,33,28,4,5,0,0,0,4,4,0,3,0,0,1,1,1,1,0,0.056,0.748,.692,5,13,27188,161,73,ltor,8,,cloudy
602,2014-08-12,SEA,TOR,W 6-3,33,32,6,8,2,0,2,4,1,0,3,0,0,0,1,0,1,1,0.285,2.474,.628,3,10,26076,161,75,,0,none,dome
603,2014-08-11,ATL,LAD,L 2-6,34,32,2,6,2,0,0,2,1,0,11,0,1,0,0,0,0,0,-0.245,-1.898,.861,5,14,20053,191,82,ltor,4,,overcast
604,2014-08-11,BAL,NYY,W 11-3,41,38,11,14,5,0,3,11,1,0,8,1,0,1,0,0,0,0,0.396,7.171,.751,6,11,34018,221,79,ltor,6,,
605,2014-08-11,CHC,MIL,L 1-3,33,33,1,7,2,0,0,1,0,0,9,0,0,0,0,0,0,1,-0.506,-3.058,1.418,5,12,28927,181,73,rtol,5,,
606,2014-08-11,MIA,STL,W 6-5,36,33,6,11,2,1,2,5,2,0,10,0,1,0,0,1,2,0,0.394,2.467,.567,6,15,21144,176,83,,0,none,dome
607,2014-08-11,HOU,MIN,L 2-4,37,34,2,9,0,0,2,2,3,0,8,0,0,0,0,1,0,1,-0.351,-2.177,1.326,8,9,15569,200,73,,0,none,dome
608,2014-08-11,KCR,OAK,W 3-2,31,28,3,6,0,0,0,2,3,0,2,0,0,0,0,1,0,0,0.004,-0.866,1.104,4,10,21479,155,76,ltor,16,,sunny
609,2014-08-11,PHI,NYM,L 3-5,37,32,3,7,3,0,1,3,4,0,8,1,0,0,0,1,1,0,-0.119,-1.015,.825,7,15,26076,168,83,fromrf,8,,cloudy
610,2014-08-11,PIT,DET,W 11-6,43,37,11,14,3,1,4,11,5,0,8,0,0,1,1,0,2,0,0.532,7.503,.357,8,15,35314,210,72,fromcf,13,,
611,2014-08-11,SDP,COL,W 4-3,35,28,4,8,2,0,2,4,4,0,5,1,1,1,0,1,0,0,0.418,0.747,1.282,7,13,28591,190,75,torf,9,,cloudy
