
Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
301,2014-09-06,TBR,BAL,W 3-2,37,30,3,5,1,0,0,2,5,1,8,0,1,1,1,0,0,0,0.217,-0.744,1.418,8,11,17969,186,72,,0,none,dome
302,2014-09-06,TEX,SEA,L 2-4,38,32,2,7,1,0,0,2,4,1,7,0,1,1,1,0,2,0,-0.315,-2.349,1.271,9,9,29552,180,75,ltor,8,,
303,2014-09-06,WSN,PHI,L 1-3,34,30,1,7,0,0,0,1,2,0,7,0,1,1,0,1,0,1,-0.457,-3.138,1.272,6,12,37408,153,93,tocf,1,,cloudy
304,2014-09-05,CIN,NYM,L 5-14,38,36,5,11,0,0,2,4,1,0,3,0,1,0,1,0,0,1,-0.004,1.023,.653,6,17,29089,214,90,,8,,cloudy
305,2014-09-05,COL,SDP,W 3-0,33,29,3,8,1,0,2,3,1,0,5,1,2,0,1,1,2,1,0.016,-1.107,.697,6,9,24586,148,59,rtol,8,,
306,2014-09-05,DET,SFG,L 2-8,33,33,2,8,1,0,0,2,0,0,4,0,0,0,1,1,0,0,-0.128,-2.219,.336,4,15,31940,168,93,rtol,3,,cloudy
307,2014-09-05,MIA,ATL,W 11-3,43,38,11,18,5,0,0,11,3,0,6,0,2,0,0,1,1,0,0.307,7.466,.373,8,11,19951,168,76,,0,none,dome
308,2014-09-05,LAD,ARI,W 2-1,33,30,2,7,0,0,1,2,2,0,6,1,0,0,0,1,0,0,-0.063,-1.395,.832,7,17,43074,164,77,torf,7,,sunny
309,2014-09-05,MIL,STL,W 6-2,35,31,6,10,1,0,1,6,1,0,8,1,2,0,0,0,0,1,0.217,2.358,.499,5,14,35103,188,79,,0,none,dome
310,2014-09-05,NYY,KCR,L 0-1,31,30,0,3,1,0,0,0,0,0,8,1,0,0,0,0,1,0,-0.804,-4.176,1.571,4,10,36284,153,82,rtol,8,,cloudy
311,2014-09-05,OAK,HOU,L 3-4,38,35,3,7,0,0,0,2,2,0,7,1,0,0,1,1,1,0,-0.370,-1.096,1.605,8,12,21130,188,63,torf,7,,sunny
312,2014-09-05,TBR,BAL,W 3-0,37,30,3,8,1,0,0,3,5,0,3,1,1,0,0,1,0,0,-0.050,-0.599,1.474,10,13,14632,188,72,,0,none,dome
313,2014-09-05,TEX,SEA,L 5-7,41,39,5,13,1,0,1,3,2,0,8,0,0,0,1,2,1,0,-0.174,0.654,1.252,9,9,23428,207,95,rtol,9,,cloudy
314,2014-09-04,BAL,CIN,W 9-7,39,34,9,12,2,0,3,9,4,0,7,0,1,0,0,0,0,1,0.645,5.170,.766,6,10,21114,206,84,torf,4,,sunny
315,2014-09-04,MIL,STL,L 2-3,40,36,2,9,1,0,1,2,4,0,6,0,0,0,1,1,0,0,-0.542,-2.096,2.221,11,22,37227,215,76,fromcf,12,,cloudy
316,2014-09-04,MIN,LAA,L 4-5,41,36,4,11,2,0,1,4,4,0,9,0,1,0,0,1,1,0,-0.200,-0.258,1.821,10,11,21914,193,80,torf,13,,cloudy
317,2014-09-04,NYY,BOS,W 5-4,34,31,5,7,2,0,2,5,3,0,5,0,0,0,0,0,0,0,0.536,1.067,1.338,4,12,44708,196,80,rtol,13,,cloudy
318,2014-09-04,SDP,ARI,L 1-5,32,30,1,4,1,0,0,0,1,0,8,0,1,0,0,0,0,0,-0.232,-2.661,.608,4,17,16025,179,73,ltor,15,,sunny
319,2014-09-04,TEX,SEA,L 2-10,36,33,2,10,0,0,1,2,1,0,4,2,0,0,0,3,0,0,-0.088,-2.348,.258,7,11,26965,182,96,rtol,16,,sunny
