
Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
1201,2014-07-07,COL,SDP,L 1-6,33,30,1,6,0,0,1,1,2,0,13,1,0,0,0,2,0,1,-0.268,-3.622,.809,5,13,26782,167,88,rtol,7,,
1202,2014-07-07,MIL,PHI,L 2-3,35,33,2,8,2,0,0,2,2,0,9,0,0,0,1,1,0,0,-0.540,-2.096,1.868,6,15,28080,205,84,tolf,12,,cloudy
1203,2014-07-07,OAK,SFG,W 5-0,38,33,5,9,2,0,0,5,2,0,7,2,0,1,0,0,3,0,0.095,1.360,.948,9,11,36067,190,67,torf,5,,overcast
1204,2014-07-07,SEA,MIN,W 2-0,32,29,2,5,0,0,2,2,3,0,3,0,0,0,0,0,0,0,-0.071,-1.526,.779,6,9,18562,154,80,ltor,3,,sunny
1205,2014-07-07,STL,PIT,W 2-0,30,25,2,3,1,0,1,2,3,0,5,1,1,0,0,1,0,0,-0.145,-1.743,1.269,3,12,42448,157,83,ltor,7,,overcast
1206,2014-07-07,TBR,KCR,L 0-6,32,30,0,4,1,0,0,0,1,0,13,1,0,0,0,0,0,1,-0.437,-4.045,.903,5,10,13406,171,72,rtol,0,none,dome
1207,2014-07-07,TEX,HOU,L 7-12,41,38,7,11,3,0,1,6,3,0,10,0,0,0,1,1,0,0,-0.019,2.651,.476,7,11,31010,228,93,rtol,6,,sunny
1208,2014-07-08,LAA,TOR,L 0-4,32,31,0,5,1,0,0,0,1,0,6,0,0,0,0,0,0,0,-0.443,-3.966,.784,5,10,38111,165,75,tocf,8,,sunny
1209,2014-07-08,ARI,MIA,L 1-2,39,35,1,9,2,0,0,1,2,0,5,0,2,0,2,1,0,0,-0.386,-3.056,1.253,11,14,18319,153,79,,0,none,dome
1210,2014-07-08,BOS,CHW,L 3-8,39,35,3,10,3,1,0,3,4,0,7,0,0,0,0,2,0,0,-0.128,-1.350,1.346,9,10,35345,191,88,tolf,15,,cloudy
1211,2014-07-08 (1),CIN,CHC,W 4-2,35,32,4,11,2,0,1,4,2,0,6,0,1,0,0,1,3,0,0.225,0.465,.585,7,12,17371,171,79,rtol,17,,overcast
1212,2014-07-08 (2),CIN,CHC,W 6-5,37,33,6,12,3,1,0,4,4,0,5,0,0,0,0,2,0,0,0.600,3.429,1.567,7,16,29991,213,80,,13,,
1213,2014-07-08,CLE,NYY,W 5-3,35,34,5,10,2,0,2,5,1,0,7,0,0,0,0,0,2,0,0.317,1.170,1.084,6,9,23384,175,78,ltor,16,,sunny
1214,2014-07-08,COL,SDP,W 2-1,32,30,2,7,1,0,1,2,1,0,9,0,1,0,0,0,1,0,-0.119,-2.108,.819,6,14,27601,191,74,torf,5,,cloudy
1215,2014-07-08,DET,LAD,W 14-5,46,38,14,20,2,2,0,13,4,0,6,1,1,2,0,3,1,0,0.728,10.252,.788,8,12,36912,209,79,tolf,18,,cloudy
1216,2014-07-08,MIL,PHI,L 7-9,42,40,7,13,2,0,3,7,2,0,4,0,0,0,0,0,1,0,0.073,2.903,1.228,8,17,26126,204,78,tocf,19,,cloudy
1217,2014-07-08,NYM,ATL,W 8-3,42,40,8,18,5,0,1,8,2,0,3,0,0,0,0,1,0,0,0.319,4.677,.315,10,13,20671,200,85,tolf,15,,cloudy
1218,2014-07-08,OAK,SFG,W 6-1,36,33,6,11,4,0,0,6,3,0,3,0,0,0,0,1,1,1,0.222,2.358,.468,6,9,36067,167,60,torf,7,,sunny
1219,2014-07-08,SEA,MIN,L 0-2,33,33,0,8,1,0,0,0,0,0,8,0,0,0,0,2,0,0,-0.618,-3.967,1.228,6,11,15553,154,83,fromcf,1,,sunny
1220,2014-07-08,STL,PIT,W 5-4,35,34,5,11,2,0,1,5,0,0,4,1,0,0,0,3,0,0,0.410,1.116,1.298,4,14,43162,164,84,ltor,11,,cloudy
1221,2014-07-08,TBR,KCR,W 4-3,36,32,4,8,3,0,0,4,3,0,4,0,0,1,0,0,0,0,0.112,0.403,.916,8,9,12818,211,72,rtol,0,none,dome
1222,2014-07-08,TEX,HOU,L 3-8,38,34,3,9,1,2,1,3,2,0,9,1,0,1,0,1,0,0,-0.151,-1.349,1.019,8,9,32608,213,95,rtol,4,,sunny
1223,2014-07-09,LAA,TOR,W 8-7,37,33,8,10,0,0,2,7,4,0,8,0,0,0,1,0,0,0,0.774,4.474,1.079,5,10,35726,227,81,rtol,7,,sunny
1224,2014-07-09,BAL,WSN,L 2-6,35,32,2,7,0,0,1,2,2,0,4,1,0,0,0,2,0,0,-0.199,-2.309,1.038,6,10,35575,170,79,fromcf,2,,overcast
1225,2014-07-09,BOS,CHW,W 5-4,37,34,5,9,5,0,0,5,1,0,6,2,0,0,0,0,0,0,0.580,1.161,1.309,7,12,36218,174,86,tocf,15,,cloudy
Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
1226,2014-07-09,CIN,CHC,W 4-1,33,28,4,7,1,1,0,4,4,0,2,0,1,0,0,0,0,1,0.211,0.467,.788,5,15,32810,172,81,,9,,cloudy
1227,2014-07-09,COL,SDP,W 6-3,32,31,6,8,0,0,5,6,0,0,10,0,1,0,0,0,0,0,0.270,1.892,.882,2,14,26212,189,90,rtol,8,,cloudy
1228,2014-07-09,DET,LAD,W 4-1,33,31,4,8,2,1,0,4,1,1,8,0,0,1,0,1,1,0,0.098,0.251,.578,5,9,36462,168,73,rtol,3,,cloudy
1229,2014-07-09,MIL,PHI,L 1-4,32,29,1,3,0,0,0,1,2,0,4,0,1,0,0,0,0,0,-0.354,-3.097,.962,4,11,26480,135,70,fromcf,9,,sunny
1230,2014-07-09,NYM,ATL,W 4-1,29,26,4,6,2,0,1,4,2,0,4,0,0,1,0,2,0,0,0.207,0.675,.959,1,13,21327,143,79,tolf,11,,
1231,2014-07-09,SEA,MIN,L 1-8,40,39,1,12,1,0,0,1,1,0,5,0,0,0,0,0,0,0,-0.116,-2.967,.354,12,10,16460,191,75,fromlf,1,,sunny
1232,2014-07-09,SFG,OAK,W 5-2,37,34,5,10,1,0,1,3,3,0,6,0,0,0,0,0,1,0,0.310,1.641,.758,8,14,41427,182,64,tocf,17,,cloudy
1233,2014-07-09,STL,PIT,W 5-2,41,35,5,14,3,1,1,5,5,0,4,0,1,0,0,1,1,0,0.261,1.465,.875,12,14,43941,204,84,torf,12,,sunny
1234,2014-07-09,TBR,KCR,L 4-5,42,34,4,8,0,0,1,4,7,0,7,1,0,0,0,0,0,0,0.054,-0.046,1.058,11,10,12150,215,72,rtol,0,none,dome
1235,2014-07-09,TEX,HOU,L 4-8,39,36,4,11,2,0,0,4,1,0,5,0,0,1,1,1,0,0,0.040,-0.348,.996,8,11,31161,185,95,rtol,3,,sunny
1236,2014-07-10,BAL,WSN,W 4-3,32,29,4,6,1,0,1,3,3,0,9,0,0,0,0,1,0,0,0.074,0.170,.621,4,10,30417,165,81,rtol,6,,cloudy
1237,2014-07-10,CLE,NYY,W 9-3,42,37,9,15,1,1,2,9,4,0,7,0,0,1,0,1,2,0,0.449,5.168,1.083,9,9,28334,210,72,fromrf,13,,sunny
1238,2014-07-10,KCR,DET,L 4-16,37,36,4,9,0,0,2,4,1,0,5,0,0,0,0,0,2,0,-0.050,-0.348,.381,6,12,21775,197,84,rtol,13,,sunny
1239,2014-07-10,LAD,SDP,W 2-1,33,31,2,9,1,0,0,2,0,0,10,0,1,1,1,1,1,0,0.002,-1.394,1.148,7,10,50332,151,74,tolf,7,,sunny
1240,2014-07-10,MIL,PHI,L 1-9,32,29,1,4,0,0,1,1,1,0,8,1,1,0,0,1,0,0,-0.179,-3.098,.776,4,14,36394,186,70,tolf,10,,cloudy
1241,2014-07-10,NYM,ATL,L 1-3,37,32,1,5,1,0,0,1,5,0,4,0,0,0,0,0,1,0,-0.445,-2.739,1.417,9,14,23528,170,79,fromrf,9,,cloudy
1242,2014-07-10,SEA,MIN,L 2-4,39,36,2,12,0,0,1,2,2,0,6,0,0,1,0,0,0,0,-0.328,-1.968,1.352,10,10,14530,191,81,torf,3,,sunny
1243,2014-07-10,SFG,OAK,L 1-6,35,34,1,6,1,0,0,1,1,0,10,0,0,0,1,0,0,0,-0.300,-2.777,.668,7,15,41069,181,67,tocf,3,,cloudy
1244,2014-07-10,STL,PIT,L 1-9,32,27,1,6,0,0,0,1,2,0,5,1,1,1,0,3,1,1,-0.139,-2.977,.837,4,15,43974,185,85,fromrf,6,,cloudy
1245,2014-07-10,TEX,LAA,L 6-15,38,35,6,9,2,0,1,6,1,0,10,1,0,1,0,0,0,0,0.093,1.651,.179,5,11,30686,190,95,rtol,13,,sunny
1246,2014-07-11,CHC,ATL,W 5-4,38,31,5,7,2,0,0,5,4,0,9,1,2,0,0,0,2,0,0.621,1.153,1.521,7,13,39544,181,76,rtol,10,,cloudy
1247,2014-07-11,CIN,PIT,W 6-5,37,37,6,14,3,0,1,6,0,0,5,0,0,0,1,1,0,1,0.633,2.464,1.165,7,15,36613,191,85,ltor,4,,sunny
1248,2014-07-11,CLE,CHW,W 7-4,38,30,7,10,1,0,2,7,6,0,6,0,2,0,1,3,1,0,0.540,3.170,1.112,7,10,24652,196,75,ltor,10,,cloudy
1249,2014-07-11,COL,MIN,W 6-2,33,32,6,11,0,1,3,6,0,0,6,0,1,0,0,1,0,1,0.289,1.892,.435,3,14,36110,179,65,fromlf,2,,
1250,2014-07-11,HOU,BOS,L 3-8,40,34,3,7,1,0,2,3,6,0,6,0,0,0,0,0,0,0,-0.197,-1.176,.606,10,9,27264,207,73,,0,none,dome
Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
1251,2014-07-11,KCR,DET,L 1-2,37,36,1,11,3,0,0,1,1,0,4,0,0,0,0,0,1,0,-0.716,-3.350,2.252,9,9,31581,178,88,rtol,7,,cloudy
1252,2014-07-11,LAD,SDP,L 3-6,39,31,3,6,2,0,0,3,7,0,9,0,0,1,0,0,0,0,-0.204,-0.819,1.169,9,16,46073,205,73,torf,10,,sunny
1253,2014-07-11,MIL,STL,L 6-7,43,38,6,12,3,2,0,6,3,0,8,1,0,1,0,0,2,0,-0.107,1.902,1.320,10,18,35501,233,75,fromcf,8,,dome
1254,2014-07-11,NYM,MIA,W 7-1,35,34,7,12,2,1,2,7,0,0,5,0,1,0,0,1,0,0,0.319,3.678,.319,4,12,25914,163,78,tolf,12,,cloudy
1255,2014-07-11,PHI,WSN,W 6-2,34,33,6,10,3,0,2,6,1,0,10,0,0,0,0,0,0,0,0.251,2.430,.400,4,11,30094,164,88,tocf,7,,
1256,2014-07-11,SEA,OAK,W 3-2,28,26,3,5,3,0,1,3,0,0,5,1,0,1,0,2,0,0,0.048,-0.526,.925,1,9,32971,142,77,torf,3,,sunny
1257,2014-07-11,SFG,ARI,W 5-0,37,33,5,10,2,0,1,5,3,0,8,0,1,0,1,0,0,1,0.284,1.642,.307,8,12,41647,155,63,tocf,15,,cloudy
1258,2014-07-11,TBR,TOR,L 5-8,41,36,5,11,1,0,1,5,4,0,6,0,0,1,0,1,0,0,0.154,0.954,1.094,9,10,17533,221,72,fromcf,0,none,dome
1259,2014-07-11,TEX,LAA,L 0-3,35,32,0,6,0,0,0,0,2,0,9,1,0,0,0,0,3,1,-0.518,-4.347,1.125,8,10,38402,161,93,rtol,7,,sunny
1260,2014-07-12,BAL,NYY,L 0-3,33,31,0,5,0,0,0,0,2,0,12,0,0,0,0,1,1,0,-0.516,-4.308,1.163,6,10,46667,182,84,tocf,7,,cloudy
1261,2014-07-12,CHC,ATL,L 6-11,37,35,6,11,5,0,0,5,2,0,7,0,0,0,0,2,0,0,0.117,1.944,.854,4,15,36806,182,78,tocf,14,,
1262,2014-07-12,CLE,CHW,L 2-6,36,33,2,6,0,0,1,2,2,0,8,1,0,0,0,0,0,0,-0.331,-2.309,1.389,7,9,23837,190,81,fromcf,5,,cloudy
1263,2014-07-12,COL,MIN,L 3-9,40,37,3,13,1,0,0,3,1,0,3,2,0,0,0,1,1,0,-0.299,-1.619,.777,10,14,35930,197,77,fromrf,5,,cloudy
1264,2014-07-12,HOU,BOS,W 3-2,34,32,3,8,2,1,1,3,2,1,11,0,0,0,0,0,0,0,0.119,-0.713,1.308,7,9,26322,186,73,,0,none,dome
1265,2014-07-12,KCR,DET,L 1-5,34,30,1,6,1,0,0,1,3,0,4,0,0,1,0,2,0,0,-0.491,-3.349,1.434,6,9,33849,188,92,rtol,9,,cloudy
1266,2014-07-12,LAD,SDP,W 1-0,34,26,1,4,1,0,0,1,6,1,9,0,1,1,0,1,0,1,-0.128,-2.422,1.698,7,14,51794,167,76,torf,7,,cloudy
1267,2014-07-12,MIL,STL,L 2-10,34,33,2,6,3,0,0,2,0,0,5,1,0,0,0,0,1,0,-0.108,-2.097,.201,5,16,40198,197,75,fromlf,10,,dome
1268,2014-07-12,NYM,MIA,W 5-4,34,28,5,6,2,0,1,5,4,0,6,0,2,0,1,1,0,0,0.557,1.677,1.320,5,14,35283,172,82,tolf,16,,sunny
1269,2014-07-12,SEA,OAK,W 6-2,40,36,6,14,3,0,2,6,3,0,6,0,1,0,0,0,0,0,0.106,2.475,.628,10,10,39204,163,86,torf,2,,sunny
1270,2014-07-12,SFG,ARI,L 0-2,33,30,0,4,0,0,0,0,3,0,5,0,0,0,0,0,0,0,-0.574,-3.777,1.229,6,14,41261,164,66,tocf,11,,cloudy
1271,2014-07-12,TBR,TOR,W 10-3,43,33,10,12,2,0,0,10,8,0,10,0,0,2,0,1,1,0,0.413,6.401,1.083,9,10,22693,199,72,fromlf,0,none,dome
1272,2014-07-12,TEX,LAA,L 2-5,36,31,2,4,3,0,0,2,3,0,5,1,1,0,1,0,2,0,-0.207,-2.348,1.032,7,9,37253,197,97,rtol,12,,sunny
1273,2014-07-13,CHC,ATL,L 7-10,39,34,7,9,2,0,2,7,5,0,8,0,0,0,0,0,0,1,-0.120,2.943,.469,5,15,36363,198,81,ltor,5,,sunny
1274,2014-07-13,CIN,PIT,W 6-3,41,33,6,9,4,0,2,6,8,0,7,0,0,0,1,0,0,2,0.395,2.465,.695,11,13,35022,188,87,rtol,10,,
1275,2014-07-13,CLE,CHW,W 3-2,37,34,3,10,1,0,1,3,2,0,5,1,0,0,0,0,0,0,0.346,-0.831,1.186,10,10,18070,180,78,ltor,18,,cloudy
Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
1276,2014-07-13,COL,MIN,L 5-13,40,37,5,13,5,0,0,5,0,0,11,1,1,1,0,0,1,1,-0.031,0.378,1.119,8,17,35743,203,79,tolf,4,,cloudy
1277,2014-07-13,HOU,BOS,L 0-11,30,30,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,-0.203,-4.177,.532,3,11,20681,203,73,,0,none,dome
1278,2014-07-13,KCR,DET,W 5-2,37,34,5,10,2,0,0,5,3,2,3,0,0,0,0,0,1,0,0.370,1.135,1.285,8,11,23424,182,83,ltor,8,,cloudy
1279,2014-07-13,LAD,SDP,W 1-0,32,29,1,7,2,0,0,1,1,0,10,1,1,0,0,0,2,0,-0.175,-2.392,1.127,7,14,47131,195,81,ltor,6,,sunny
1280,2014-07-13,MIL,STL,W 11-2,45,38,11,19,4,0,1,10,3,0,6,2,2,0,0,2,0,0,0.333,7.360,.497,10,14,35345,175,79,fromlf,13,,sunny
1281,2014-07-13,NYM,MIA,W 9-1,45,38,9,15,5,0,0,9,6,1,5,0,0,1,0,0,3,0,0.309,5.677,.606,12,12,28187,199,81,tolf,14,,cloudy
1282,2014-07-13,PHI,WSN,L 3-10,35,32,3,5,2,0,0,3,1,0,8,1,1,0,1,0,0,0,-0.235,-1.016,.519,5,16,30185,183,87,tocf,16,,
1283,2014-07-13,SEA,OAK,L 1-4,34,32,1,6,0,0,0,1,2,1,7,0,0,0,0,0,1,0,-0.379,-2.966,1.065,6,10,25944,163,74,torf,3,,sunny
1284,2014-07-13,SFG,ARI,W 8-4,40,34,8,9,2,0,2,8,5,0,7,1,0,0,1,0,0,0,0.350,4.642,.790,8,15,41288,181,64,tocf,9,,cloudy
1285,2014-07-13,TBR,TOR,W 3-0,35,29,3,6,0,0,0,3,4,0,7,1,0,1,0,0,3,0,0.017,-0.597,.862,8,10,17187,165,72,fromlf,0,none,dome
1286,2014-07-13,TEX,LAA,L 7-10,36,34,7,10,1,1,0,6,1,0,7,0,0,1,0,1,1,1,0.170,2.650,1.193,2,11,34750,218,98,rtol,3,,sunny
1287,2014-07-18,ARI,CHC,W 5-4,35,33,5,12,1,0,1,5,1,0,5,0,0,1,0,1,0,0,0.370,1.394,1.357,6,17,32619,195,79,,0,none,dome
1288,2014-07-18,ATL,PHI,W 6-4,35,34,6,10,2,0,1,6,1,0,7,0,0,0,0,0,1,0,0.365,2.537,.578,5,13,39747,165,76,rtol,7,,
1289,2014-07-18,BOS,KCR,W 5-4,37,33,5,10,2,0,2,5,3,0,5,0,1,0,1,1,0,0,0.324,1.135,1.144,8,10,37743,211,74,fromrf,7,,cloudy
