
Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
601,2012-08-17,SEA,MIN,W 5-3,37,34,5,11,2,0,2,5,2,0,4,0,1,0,0,0,1,0,0.222,1.358,.483,8,9,22602,156,79,ltor,3,,sunny
602,2012-08-17,STL,PIT,L 1-2,33,29,1,4,2,0,0,1,4,0,10,0,0,0,0,1,0,0,-0.625,-3.187,1.616,5,12,38689,167,80,fromlf,11,,sunny
603,2012-08-17,TOR,TEX,W 3-2,31,28,3,4,1,1,1,3,2,1,11,1,0,0,0,0,3,0,0.016,-1.046,.641,4,10,26816,162,73,tolf,15,,cloudy
604,2012-08-17,WSN,NYM,W 6-4,33,31,6,8,0,0,2,6,2,0,5,0,0,0,0,0,0,1,0.362,2.161,.670,3,13,34827,162,89,torf,8,,
605,2012-08-16,LAA,TBR,L 0-7,33,31,0,5,2,0,0,0,2,0,9,0,0,0,0,1,0,0,-0.209,-4.188,.360,6,9,38591,160,83,torf,3,,sunny
606,2012-08-16,ATL,SDP,W 6-0,38,33,6,10,3,0,3,6,5,1,8,0,0,0,1,0,0,0,0.211,2.117,.398,8,9,33157,150,87,ltor,5,,sunny
607,2012-08-16,BAL,BOS,L 3-6,35,31,3,8,3,0,1,3,3,0,10,1,0,0,0,3,0,0,-0.129,-1.550,.887,5,9,25483,202,84,tocf,4,,sunny
608,2012-08-16,CIN,NYM,L 4-8,38,35,4,8,4,0,1,4,2,0,11,1,0,0,0,0,0,0,-0.289,-0.449,.557,7,16,23137,176,84,fromrf,6,,overcast
609,2012-08-16,COL,MIA,W 5-3,34,30,5,9,0,2,1,4,1,1,7,0,3,0,1,1,0,0,0.265,0.544,1.129,5,14,24807,155,73,fromlf,12,,cloudy
610,2012-08-16,KCR,OAK,L 0-3,34,32,0,6,0,0,0,0,2,0,4,0,0,0,0,0,0,1,-0.545,-4.550,1.366,7,9,14345,177,73,ltor,10,,
611,2012-08-16,MIL,PHI,W 7-4,33,31,7,6,0,0,4,7,2,1,12,0,0,0,1,0,1,0,0.536,3.009,1.508,2,16,30117,203,75,tolf,13,,cloudy
