
Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
601,2014-05-20,TEX,SEA,L 2-6,32,31,2,6,0,0,1,2,1,0,3,0,0,0,0,2,0,0,-0.188,-2.349,.767,3,9,43706,174,84,tolf,8,,sunny
602,2014-05-20,WSN,CIN,W 9-4,39,33,9,9,2,0,0,8,2,0,9,2,1,1,2,0,1,0,0.262,5.322,.585,6,13,26455,183,73,fromcf,13,,cloudy
603,2014-05-21,LAA,HOU,W 2-1,30,28,2,4,0,0,1,2,2,0,8,0,0,0,0,0,0,0,-0.052,-1.525,.838,4,10,40112,146,68,tocf,8,,cloudy
604,2014-05-21,ATL,MIL,L 1-6,32,32,1,5,2,0,0,1,0,0,10,0,0,0,0,0,0,0,-0.148,-2.896,.412,4,12,18148,146,82,ltor,13,,sunny
605,2014-05-21,BOS,TOR,L 4-6,42,39,4,11,4,0,1,4,3,0,7,0,0,0,1,0,1,0,-0.242,-0.349,.898,11,9,36116,203,64,fromrf,12,,cloudy
606,2014-05-21,COL,SFG,L 1-5,33,31,1,5,1,0,0,0,1,0,7,1,0,0,0,1,0,0,-0.415,-3.622,.835,5,15,30411,180,56,rtol,4,,
607,2014-05-21,MIA,PHI,W 14-5,46,37,14,14,2,2,1,14,7,0,5,0,1,1,0,0,0,0,0.493,10.465,.717,8,16,18257,219,78,,0,none,dome
608,2014-05-21,KCR,CHW,W 3-1,34,30,3,8,1,0,0,3,3,1,4,0,0,1,0,1,0,0,0.008,-0.867,1.381,7,10,17576,161,85,rtol,4,,cloudy
609,2014-05-21,NYM,LAD,L 3-4,39,38,3,13,1,1,1,3,1,0,10,0,0,0,0,2,0,0,-0.377,-0.738,1.368,9,15,23721,181,70,tolf,13,,
610,2014-05-21,PIT,BAL,W 9-8,39,35,9,13,3,1,0,8,4,0,6,0,0,0,0,2,0,0,0.782,5.502,1.011,6,16,19365,208,74,rtol,10,,
611,2014-05-21,SDP,MIN,L 0-2,34,34,0,8,0,0,0,0,0,0,8,0,0,0,0,1,0,0,-0.579,-3.658,1.357,7,13,16079,152,65,torf,6,,cloudy
612,2014-05-21,TBR,OAK,L 2-3,37,35,2,9,1,0,0,2,2,0,6,0,0,0,0,1,0,0,-0.510,-2.046,1.979,8,13,10555,233,72,,0,none,dome
613,2014-05-21,TEX,SEA,W 4-3,35,31,4,8,0,0,2,4,3,0,2,1,0,0,0,0,1,1,0.117,0.135,.757,7,10,43654,167,82,rtol,12,,cloudy
614,2014-05-21,WSN,CIN,L 1-2,34,31,1,6,0,0,1,1,1,0,9,1,1,0,0,1,0,0,-0.664,-3.138,1.547,6,13,28944,172,78,fromrf,7,,overcast
615,2014-05-22,ATL,MIL,W 5-4,35,30,5,9,1,0,1,5,4,0,4,0,1,0,0,2,0,0,0.423,1.536,1.234,6,16,30148,216,85,ltor,14,,sunny
616,2014-05-22,BOS,TOR,L 2-7,34,34,2,7,2,0,1,2,0,0,6,0,0,0,0,0,0,0,-0.083,-2.348,.536,5,9,36018,178,56,fromrf,11,rain,
617,2014-05-22,CHW,NYY,W 3-2,34,32,3,8,3,0,0,3,2,0,8,0,0,0,0,0,1,0,0.025,-0.597,.621,7,10,21677,165,61,ltor,6,,cloudy
618,2014-05-22,COL,SFG,L 2-4,41,37,2,13,0,0,0,1,3,0,3,1,0,0,0,3,1,0,-0.363,-2.623,1.440,12,20,36468,193,70,tolf,6,,
619,2014-05-22,DET,TEX,L 2-9,35,32,2,7,4,0,0,2,3,0,8,0,0,0,0,1,0,0,-0.138,-2.219,.501,6,10,40768,210,69,ltor,15,,cloudy
620,2014-05-22,MIA,PHI,W 4-3,37,35,4,10,1,0,1,4,2,0,8,0,0,0,0,1,0,0,0.287,0.752,1.331,7,15,25507,166,77,,0,none,dome
621,2014-05-22,NYM,LAD,W 5-3,34,31,5,8,3,1,0,4,2,0,8,0,0,1,1,0,1,1,0.401,1.675,.966,5,12,23416,179,61,fromrf,10,,
622,2014-05-22,PIT,WSN,W 3-1,38,31,3,7,1,0,0,3,6,1,5,1,0,0,0,0,1,0,0.030,-0.497,1.081,11,14,23468,193,71,tocf,13,,cloudy
623,2014-05-22,SDP,CHC,L 1-5,34,33,1,7,0,0,1,1,1,0,10,0,0,0,0,1,0,0,-0.178,-2.660,.688,6,14,21263,176,64,ltor,6,,overcast
624,2014-05-22,SEA,HOU,W 3-1,35,28,3,6,0,0,0,3,6,1,8,0,0,1,0,1,0,0,0.061,-0.526,1.334,8,10,13836,189,71,,1,,dome
625,2014-05-22,STL,ARI,W 4-2,38,32,4,9,4,0,0,4,5,1,4,1,0,0,0,1,0,0,0.239,0.465,1.198,10,13,40787,160,80,fromlf,1,,sunny
Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
626,2014-05-23,LAA,KCR,W 6-1,37,34,6,12,2,0,2,6,3,0,3,0,0,0,0,0,0,0,0.263,2.475,.529,7,11,35082,171,67,tocf,9,,cloudy
627,2014-05-23,ATL,COL,W 3-2,36,34,3,10,3,0,0,3,2,0,10,0,0,0,0,0,2,0,0.134,-0.465,1.526,9,15,25646,193,85,ltor,11,,cloudy
628,2014-05-23,BAL,CLE,W 8-4,39,34,8,14,5,0,2,7,4,3,1,1,0,0,1,3,0,0,0.494,4.171,.853,7,9,39602,163,73,ltor,10,,cloudy
629,2014-05-23,CHW,NYY,W 6-5,41,38,6,13,0,0,2,4,3,0,9,0,0,0,1,0,2,0,0.815,2.403,1.632,11,12,27091,232,54,ltor,9,,sunny
630,2014-05-23,CIN,STL,W 5-3,34,31,5,9,1,0,2,5,1,0,7,0,1,1,0,0,2,0,0.288,1.466,.774,5,15,37271,155,76,torf,8,,sunny
631,2014-05-23,DET,TEX,W 7-2,36,33,7,10,4,0,2,7,3,2,2,0,0,0,1,0,0,0,0.358,3.251,.693,5,9,39835,150,70,tocf,9,,cloudy
632,2014-05-23,MIA,MIL,L 5-9,37,36,5,8,0,0,4,5,1,0,9,0,0,0,1,0,0,0,-0.116,1.025,.489,5,14,18989,174,83,fromcf,13,,sunny
633,2014-05-23,PHI,LAD,L 0-2,35,30,0,3,2,0,0,0,4,0,12,0,1,0,1,0,0,0,-0.572,-4.015,1.775,8,14,27254,195,77,ltor,11,,
634,2014-05-23,PIT,WSN,W 4-3,34,31,4,7,1,0,1,3,2,0,5,1,0,0,1,1,1,0,0.161,0.502,.543,6,14,31592,193,62,tocf,13,,cloudy
635,2014-05-23,SDP,CHC,W 11-1,39,36,11,12,4,0,2,11,3,0,8,0,0,0,0,0,1,0,0.406,7.746,.211,4,15,26489,184,66,ltor,11,,cloudy
636,2014-05-23,SEA,HOU,W 6-1,36,32,6,11,2,0,1,6,2,0,2,1,0,1,0,1,0,1,0.248,2.474,.579,6,9,21192,160,69,fromrf,2,,cloudy
637,2014-05-23,SFG,MIN,W 6-2,31,30,6,6,1,2,2,6,0,0,7,0,0,1,1,0,0,0,0.362,2.641,.473,1,14,41514,163,64,tocf,15,,
638,2014-05-23,TBR,BOS,W 1-0,34,31,1,6,1,0,0,1,2,0,4,0,1,0,1,0,1,0,-0.152,-2.408,1.527,8,11,20898,205,72,,0,none,dome
639,2014-05-23,TOR,OAK,W 3-2,30,29,3,6,1,0,1,3,1,0,2,0,0,0,0,0,1,0,0.047,-0.715,.562,3,10,21007,157,68,,0,none,dome
640,2014-05-24,ATL,COL,L 1-3,35,30,1,4,2,0,0,1,4,0,8,0,0,1,0,0,0,0,-0.481,-2.897,1.172,7,12,26741,190,89,ltor,10,,
641,2014-05-24,BAL,CLE,L 0-9,37,35,0,8,1,0,0,0,2,0,11,0,0,0,1,0,0,0,-0.259,-4.308,.481,10,14,36873,185,67,torf,7,,
642,2014-05-24,CIN,STL,L 3-6,38,37,3,11,4,0,1,3,1,0,13,0,0,0,0,1,0,0,-0.237,-0.976,1.287,8,15,41585,189,78,,7,,cloudy
643,2014-05-24,DET,TEX,L 2-12,40,38,2,13,4,0,0,2,2,0,5,0,0,0,0,0,0,1,-0.113,-2.218,.439,11,12,43447,223,75,torf,8,,sunny
644,2014-05-24,MIA,MIL,W 2-1,34,31,2,8,2,0,0,2,3,0,8,0,0,0,0,1,1,0,-0.088,-1.535,.943,8,14,25819,183,78,,0,none,dome
645,2014-05-24,NYM,ARI,L 2-3,37,33,2,7,2,0,1,2,4,0,5,0,0,0,0,1,1,0,-0.517,-1.739,1.731,8,16,24551,198,66,fromrf,7,,
646,2014-05-24,PHI,LAD,W 5-3,33,29,5,7,2,0,1,5,2,0,9,1,1,0,0,0,0,0,0.248,1.431,.456,4,14,32287,157,70,fromlf,4,,
647,2014-05-24,PIT,WSN,W 3-2,33,28,3,8,1,0,1,3,2,1,8,2,0,1,0,1,0,1,0.194,-0.500,1.245,6,15,38889,179,75,tocf,9,,cloudy
648,2014-05-24,SDP,CHC,L 2-3,32,30,2,3,0,0,1,2,2,0,5,0,0,0,1,1,0,0,-0.450,-1.658,1.114,3,14,42107,154,66,ltor,8,,
649,2014-05-24,SEA,HOU,L 4-9,37,36,4,8,0,1,0,3,1,0,11,0,0,0,1,0,1,0,-0.026,0.033,.651,6,10,21585,198,65,torf,2,,cloudy
650,2014-05-24,SFG,MIN,W 2-1,31,27,2,5,0,0,1,2,3,0,6,0,0,1,0,1,0,0,-0.028,-1.359,.784,5,14,41724,171,62,tocf,16,,sunny
Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
651,2014-05-24,TOR,OAK,W 5-2,35,32,5,9,2,0,1,3,3,0,5,0,0,0,1,2,0,0,0.233,1.286,.792,6,11,29372,155,61,ltor,5,,sunny
652,2014-05-25,LAA,KCR,W 4-3,36,30,4,8,1,0,1,4,5,0,6,1,0,0,0,1,0,0,0.367,0.474,1.454,8,10,36114,184,74,tocf,2,,sunny
653,2014-05-25,ATL,COL,W 7-0,34,30,7,7,0,0,4,7,3,0,6,0,1,0,0,0,0,0,0.215,3.535,.428,3,13,35565,168,88,ltor,7,,
654,2014-05-25,BAL,CLE,W 4-2,37,33,4,9,2,0,2,4,4,0,11,0,0,0,1,1,2,0,0.177,0.171,.903,9,9,37649,192,77,torf,3,,cloudy
