
Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
1,2014-09-28,ARI,STL,L 0-1,30,27,0,2,0,0,0,0,3,0,3,0,0,0,0,1,0,1,-0.773,-4.057,1.450,3,12,30617,140,74,,0,none,dome
2,2014-09-28,BOS,NYY,L 5-9,35,32,5,5,2,0,0,4,2,0,15,1,0,0,0,0,1,0,-0.259,0.652,.507,3,11,36879,194,84,rtol,6,,sunny
3,2014-09-28,CHW,KCR,L 4-6,41,38,4,12,3,0,1,4,3,0,13,0,0,0,0,0,1,0,-0.065,-0.046,1.367,10,12,32266,214,78,fromlf,5,,cloudy
4,2014-09-28,CIN,PIT,W 4-1,32,30,4,7,0,1,1,4,1,0,12,1,0,0,0,0,0,1,0.085,0.463,1.007,4,11,34424,166,77,,1,,sunny
5,2014-09-28,CLE,TBR,W 7-2,39,37,7,14,4,0,2,7,1,0,7,0,0,1,1,1,2,0,0.290,3.169,.676,8,9,21400,148,68,ltor,7,,
6,2014-09-28,DET,MIN,W 3-0,30,26,3,4,0,0,1,3,3,0,6,0,0,1,0,0,1,0,-0.097,-0.750,.644,3,10,40501,161,72,fromcf,5,,sunny
7,2014-09-28,LAD,COL,W 10-5,43,41,10,16,3,0,3,10,1,0,7,1,0,0,1,0,0,0,0.375,6.607,.306,9,19,48278,195,75,ltor,6,,cloudy
8,2014-09-28,MIL,CHC,L 2-5,34,29,2,5,0,0,0,1,4,0,4,0,1,0,0,2,3,0,-0.275,-2.097,1.307,5,16,33837,189,74,fromlf,4,,sunny
9,2014-09-28,NYM,HOU,W 8-3,36,31,8,10,4,0,2,8,3,0,1,0,1,1,0,0,1,1,0.367,4.678,.807,4,15,34897,162,81,fromrf,5,,cloudy
10,2014-09-28,PHI,ATL,L 1-2,34,31,1,6,0,0,0,0,2,0,10,1,0,0,0,2,3,0,-0.590,-3.016,1.904,6,13,38082,138,82,tocf,8,,cloudy
11,2014-09-28,SEA,LAA,W 4-1,35,33,4,9,2,0,0,4,2,0,10,0,0,0,0,0,0,0,0.182,0.473,.560,7,12,40823,170,59,torf,5,,dome
12,2014-09-28,SFG,SDP,W 9-3,39,35,9,13,3,0,2,9,3,0,10,0,0,1,0,0,0,0,0.450,5.642,.766,6,19,41077,183,68,tocf,4,,
13,2014-09-28,TEX,OAK,L 0-4,32,31,0,6,2,0,0,0,0,0,5,1,0,0,0,2,0,0,-0.535,-4.347,1.108,5,10,36381,159,85,ltor,9,,sunny
