
Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
901,2013-06-16,BAL,BOS,W 6-3,38,37,6,14,6,0,1,6,0,0,11,0,1,0,0,0,0,0,0.237,2.008,.620,8,10,41311,186,81,tocf,9,,overcast
902,2013-06-16,CIN,MIL,W 5-1,36,33,5,9,4,0,1,5,2,0,4,0,1,0,1,0,0,0,0.243,1.422,.789,7,11,39088,174,78,rtol,11,,
903,2013-06-16,CLE,WSN,W 2-0,31,25,2,4,1,0,0,2,4,0,6,0,1,1,0,1,2,0,-0.128,-1.678,.823,5,9,21845,158,71,ltor,11,,overcast
904,2013-06-16,COL,PHI,W 5-2,35,32,5,9,2,0,2,5,3,1,7,0,0,0,0,1,0,0,-0.021,0.811,.638,6,10,45186,138,68,tocf,8,,
905,2013-06-16,MIA,STL,W 7-2,39,35,7,11,3,0,0,7,3,0,7,1,0,0,0,0,1,0,0.318,3.387,.538,8,13,18468,166,79,,0,none,dome
906,2013-06-16,HOU,CHW,W 5-4,35,31,5,7,2,0,1,5,4,0,10,0,0,0,1,0,1,1,0.249,1.162,.635,6,10,25829,197,73,,0,none,dome
907,2013-06-16,MIN,DET,L 2-5,32,30,2,3,1,0,1,2,2,0,8,0,0,0,0,0,0,0,-0.326,-2.398,.759,3,9,39317,162,82,torf,9,,cloudy
908,2013-06-16,NYM,CHC,W 4-3,35,30,4,6,2,0,2,4,3,0,6,1,1,0,1,1,0,0,0.580,0.467,1.458,6,14,30256,171,81,tocf,15,,
909,2013-06-16,OAK,SEA,W 10-2,44,38,10,17,4,1,4,10,4,0,5,0,1,1,0,1,0,0,0.347,6.206,.817,10,10,36067,179,65,torf,17,,sunny
910,2013-06-16,PIT,LAD,W 6-3,36,32,6,10,2,0,2,6,2,0,8,1,1,0,0,0,0,0,0.407,2.633,.899,6,14,37263,187,71,rtol,14,rain,
911,2013-06-16,SDP,ARI,W 4-1,32,30,4,6,0,0,2,4,2,0,7,0,0,0,1,0,0,1,0.118,0.774,1.381,4,12,27943,146,70,ltor,9,,sunny
912,2013-06-16,TBR,KCR,L 3-5,38,34,3,7,2,0,1,3,4,0,8,0,0,0,0,0,0,0,-0.257,-1.228,1.073,8,10,27442,188,72,torf,0,,dome
913,2013-06-16,TEX,TOR,L 2-7,40,35,2,8,1,0,0,2,5,0,7,0,0,0,1,1,0,0,-0.324,-2.489,.669,11,9,44052,174,93,rtol,7,,sunny
914,2013-06-17,LAA,SEA,W 11-3,46,42,11,20,2,0,1,9,3,0,7,0,0,1,2,2,1,0,0.327,7.360,.588,11,12,30258,176,72,tolf,4,,sunny
915,2013-06-17,ARI,MIA,L 2-3,38,34,2,7,0,0,1,2,4,0,9,0,0,0,0,0,1,0,-0.418,-2.066,1.375,9,11,19354,167,81,,0,none,dome
916,2013-06-17,ATL,NYM,W 2-1,31,30,2,5,1,0,1,2,1,0,6,0,0,0,0,0,0,0,0.242,-1.792,1.436,4,12,22048,149,71,tolf,4,rain,
917,2013-06-17,CIN,PIT,W 4-1,33,31,4,8,0,0,4,4,2,0,7,0,0,0,1,1,0,1,0.098,0.422,.732,5,13,28892,174,85,,5,,
918,2013-06-17,CLE,KCR,L 1-2,39,33,1,6,1,0,1,1,6,0,8,0,0,0,0,0,1,0,-0.464,-3.136,1.796,11,9,12803,178,77,tocf,6,,cloudy
919,2013-06-17,DET,BAL,W 5-1,36,34,5,14,1,0,1,5,1,1,5,0,0,1,0,3,1,0,0.228,0.972,.645,7,10,32525,159,72,torf,9,,cloudy
