
Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
901,2012-06-17,LAA,ARI,W 2-0,32,30,2,6,2,0,1,2,0,0,6,1,1,0,1,0,0,0,-0.084,-1.723,.882,6,10,42222,147,76,tocf,5,,sunny
902,2012-06-17,ATL,BAL,L 0-2,32,31,0,7,0,0,0,0,1,0,4,0,0,0,0,3,0,0,-0.625,-4.368,1.316,5,13,29530,153,82,torf,2,,sunny
903,2012-06-17,CHC,BOS,L 4-7,38,35,4,8,2,1,0,4,1,0,10,1,0,1,1,0,0,0,-0.051,-0.318,1.339,7,15,38531,197,84,,7,,cloudy
904,2012-06-17,CLE,PIT,L 5-9,39,37,5,12,3,0,1,5,2,0,5,0,0,0,0,1,2,0,0.239,0.812,.737,7,9,27388,180,78,tocf,14,,
905,2012-06-17,DET,COL,W 5-0,41,36,5,15,3,0,0,5,4,3,4,1,0,0,0,2,1,0,0.198,0.839,.576,12,10,40619,182,79,rtol,7,,overcast
906,2012-06-17,NYM,CIN,L 1-3,35,33,1,7,0,0,0,1,2,0,9,0,0,0,1,2,0,0,-0.428,-3.067,1.269,7,14,40134,173,70,fromrf,8,,
907,2012-06-17,OAK,SDP,L 1-2,38,33,1,6,0,0,0,1,4,0,8,1,0,0,0,0,0,0,-0.703,-3.237,1.664,10,10,21631,171,68,torf,9,,sunny
908,2012-06-17,SEA,SFG,W 2-1,33,31,2,6,1,0,0,2,1,0,4,0,0,1,1,0,0,0,-0.041,-1.236,1.532,6,12,40603,185,64,tocf,6,,dome
909,2012-06-17,TBR,MIA,W 3-0,35,31,3,9,1,0,1,3,4,0,6,0,0,0,1,1,1,0,0.003,-0.766,.785,8,12,33810,169,72,torf,0,,dome
910,2012-06-17,TEX,HOU,W 9-3,45,35,9,12,0,1,1,8,9,0,5,0,1,0,0,0,2,0,0.288,4.678,1.027,12,10,46320,203,90,rtol,12,,cloudy
