
Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
601,2013-05-21,MIL,LAD,W 5-2,36,31,5,12,1,1,0,5,3,0,4,0,2,0,0,1,0,1,0.366,1.349,.899,7,17,26384,216,81,rtol,13,,cloudy
602,2013-05-21,NYM,CIN,L 0-4,33,29,0,3,2,0,0,0,3,0,7,0,1,0,0,0,0,0,-0.353,-3.748,.774,6,13,23183,162,81,tolf,13,,cloudy
603,2013-05-21,PIT,CHC,W 5-4,38,31,5,8,2,0,1,5,6,0,5,0,1,0,1,0,0,1,0.466,1.632,1.160,9,16,16092,203,85,rtol,12,,cloudy
604,2013-05-21,SDP,STL,L 2-10,34,32,2,8,1,0,0,1,2,0,6,0,0,0,0,3,0,0,-0.147,-1.632,.477,5,14,18702,158,66,torf,7,,
605,2013-05-21,TEX,OAK,L 0-1,29,29,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,1,-0.835,-4.488,1.341,2,9,42510,173,64,torf,4,,
606,2013-05-21,TOR,TBR,L 3-4,37,33,3,6,1,0,1,2,4,0,6,0,0,0,2,1,0,0,-0.369,-1.451,1.384,7,11,15802,195,68,,0,none,dome
607,2013-05-22,LAA,SEA,W 7-1,36,32,7,12,2,1,0,7,4,0,6,0,0,0,0,3,0,1,0.384,3.359,.412,5,9,33313,164,71,fromlf,8,,sunny
608,2013-05-22,ATL,MIN,W 8-3,40,33,8,10,1,0,3,8,5,0,4,2,0,0,0,0,0,0,0.294,4.423,.414,8,10,27798,178,84,rtol,1,,cloudy
609,2013-05-22,BAL,NYY,W 6-3,36,36,6,14,2,0,3,6,0,0,4,0,0,0,0,2,1,0,0.324,2.009,.333,6,9,26725,183,83,tolf,8,,cloudy
610,2013-05-22,CHW,BOS,L 2-6,33,30,2,6,0,0,1,2,3,0,7,0,0,0,0,1,0,2,-0.446,-2.531,1.273,4,9,21298,195,71,tolf,12,,cloudy
611,2013-05-22,CLE,DET,L 7-11,42,40,7,13,3,0,2,7,2,0,13,0,0,0,0,0,1,0,0.069,2.862,.969,8,11,16562,213,82,torf,18,,cloudy
612,2013-05-22,COL,ARI,W 4-1,31,31,4,7,3,1,1,3,0,0,5,0,0,0,0,0,1,0,0.137,-0.187,.448,3,14,31763,172,72,fromcf,5,,sunny
613,2013-05-22,MIA,PHI,L 0-3,31,28,0,3,0,0,0,0,2,0,5,1,0,0,0,1,0,0,-0.462,-4.065,.968,4,14,15520,163,76,,0,none,dome
614,2013-05-22,HOU,KCR,W 3-1,32,31,3,8,2,0,1,3,1,0,8,0,0,0,1,1,1,0,-0.039,-0.838,.664,5,10,12324,175,73,,0,none,dome
