
Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
1,2012-10-03,ARI,COL,L 1-2,38,32,1,7,0,0,1,1,4,1,5,1,1,0,0,1,3,0,-0.694,-3.409,1.913,10,13,24344,196,74,,0,none,dome
2,2012-10-03,CHC,HOU,W 5-4,40,32,5,7,0,0,1,5,8,0,5,0,0,0,0,1,2,0,0.463,1.438,1.428,9,14,27606,184,67,tocf,3,,
3,2012-10-03,CLE,CHW,L 0-9,33,31,0,5,1,0,0,0,2,0,9,0,0,0,0,1,0,0,-0.224,-4.189,.376,6,9,18093,170,64,torf,10,,
4,2012-10-03,MIA,NYM,L 2-4,37,33,2,7,2,0,0,1,4,0,8,0,0,0,0,0,1,0,-0.398,-2.368,1.237,8,15,27418,158,80,,0,none,dome
5,2012-10-03,KCR,DET,L 0-1,38,31,0,6,0,0,0,0,7,0,6,0,0,0,0,1,1,0,-0.829,-4.550,1.652,11,11,30383,179,72,rtol,8,,sunny
6,2012-10-03,LAD,SFG,W 5-1,33,32,5,8,1,0,2,5,1,0,8,0,0,0,1,0,0,0,0.096,1.350,.873,4,15,34014,158,82,tocf,7,,cloudy
7,2012-10-03,MIL,SDP,L 6-7,37,35,6,7,2,0,0,6,2,1,6,0,0,0,1,0,3,0,-0.224,1.512,1.119,4,18,34451,178,68,,0,none,dome
8,2012-10-03,NYY,BOS,W 14-2,46,37,14,15,3,0,4,14,7,0,5,1,0,1,0,1,1,0,0.368,9.874,.340,8,16,47393,203,69,fromlf,5,,
9,2012-10-03,OAK,TEX,W 12-5,42,37,12,11,3,0,1,9,5,0,6,0,0,0,2,0,0,0,0.668,8.230,.773,6,10,36067,196,75,torf,5,,sunny
10,2012-10-03,PIT,ATL,L 0-4,30,30,0,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0,-0.378,-4.067,.643,3,16,20615,165,69,tolf,9,,
11,2012-10-03,SEA,LAA,W 12-0,43,36,12,11,3,0,1,11,6,0,6,1,0,0,1,0,0,0,0.259,8.358,.455,7,9,15614,176,64,fromlf,9,,sunny
12,2012-10-03,STL,CIN,W 1-0,34,33,1,9,1,0,0,1,1,0,11,0,0,0,0,0,1,0,-0.185,-2.724,1.260,9,14,42509,154,68,tolf,3,,cloudy
13,2012-10-03,TBR,BAL,W 4-1,30,30,4,6,0,0,4,4,0,0,8,0,0,0,0,0,0,0,0.135,0.234,.374,2,11,17909,163,72,tolf,0,,dome
14,2012-10-03,TOR,MIN,W 2-1,29,28,2,6,0,1,0,2,1,0,6,0,0,0,0,2,1,0,-0.139,-2.046,.779,3,10,19769,141,68,,0,none,dome
