
Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
1201,2013-07-10,CLE,TOR,L 4-5,41,35,4,9,0,0,0,3,6,0,10,0,0,0,1,2,1,0,-0.078,-0.139,1.760,10,11,14134,197,73,tocf,10,,
1202,2013-07-10,DET,CHW,W 8-5,39,37,8,15,0,1,1,8,2,0,5,0,0,0,0,0,0,1,0.358,3.972,.603,7,9,39085,186,80,rtol,10,,overcast
1203,2013-07-10,MIA,ATL,W 6-2,42,35,6,11,3,1,0,6,7,0,4,0,0,0,1,1,0,0,0.230,2.385,.557,12,12,23921,178,76,,0,none,dome
1204,2013-07-10,MIL,CIN,L 2-6,33,27,2,4,1,0,1,2,4,0,3,0,1,1,0,1,1,1,-0.207,-2.106,1.007,4,14,35239,178,77,fromcf,11,,cloudy
1205,2013-07-10,NYY,KCR,W 8-1,36,31,8,9,1,0,2,7,3,0,9,2,0,0,0,0,2,0,0.244,4.125,.437,4,11,35781,163,85,tocf,13,,
1206,2013-07-10,PHI,WSN,L 1-5,35,32,1,7,1,0,1,1,2,0,5,0,1,0,0,2,0,0,-0.352,-2.985,1.067,7,13,34513,170,91,torf,11,,cloudy
1207,2013-07-10,PIT,OAK,W 5-0,38,35,5,12,2,0,0,5,3,0,6,0,0,0,0,0,0,1,0.258,1.632,.525,9,12,23474,173,67,rtol,7,,
1208,2013-07-10,SDP,COL,L 4-5,40,35,4,7,2,0,1,4,5,0,8,0,0,0,1,0,2,0,-0.254,0.368,1.554,9,17,19411,213,68,ltor,6,,
1209,2013-07-10,SEA,BOS,L 4-11,38,36,4,9,5,0,1,4,2,0,10,0,0,0,0,0,0,0,-0.176,-0.005,.367,7,11,20468,203,69,torf,2,,cloudy
1210,2013-07-10,SFG,NYM,L 2-7,36,32,2,6,0,1,0,2,3,0,6,0,0,1,0,0,0,0,-0.198,-1.709,.371,7,16,41679,175,61,tocf,11,,cloudy
1211,2013-07-10,STL,HOU,W 5-4,35,30,5,7,1,0,1,5,4,1,4,1,0,0,0,1,1,0,0.450,1.422,1.418,6,15,44313,203,87,torf,9,,cloudy
1212,2013-07-11,ARI,MIL,W 5-3,35,26,5,5,1,1,0,5,6,1,6,0,2,1,0,0,1,0,0.340,1.385,1.550,6,11,17531,169,78,,0,none,dome
1213,2013-07-11,ATL,CIN,W 6-5,38,35,6,11,2,1,0,6,2,0,10,0,1,0,0,0,0,0,0.385,2.421,.897,8,14,40186,187,81,ltor,3,,
1214,2013-07-11,BAL,TEX,W 3-1,29,28,3,6,0,0,2,3,1,0,5,0,0,0,0,1,0,1,-0.020,-0.989,.638,2,9,21857,155,85,fromcf,5,,cloudy
1215,2013-07-11,CHC,STL,W 3-0,33,29,3,7,1,0,0,3,4,0,3,0,0,0,0,2,0,0,0.114,-0.614,.600,6,14,35379,164,72,fromrf,6,,sunny
1216,2013-07-11,CLE,TOR,W 4-2,36,30,4,7,1,1,1,3,4,0,8,2,0,0,1,0,1,2,0.154,0.322,1.010,8,10,20641,159,72,fromcf,10,,sunny
1217,2013-07-11,DET,CHW,L 3-6,36,34,3,10,2,1,2,3,2,0,9,0,0,0,0,2,0,0,-0.148,-1.531,1.056,6,11,40444,198,76,ltor,10,,cloudy
1218,2013-07-11,LAD,COL,W 6-1,41,33,6,13,2,0,0,6,7,2,7,0,0,1,1,3,1,0,0.139,2.597,.679,11,13,52740,193,76,tocf,4,,
1219,2013-07-11,NYY,KCR,W 8-4,38,32,8,11,1,0,0,8,4,1,8,0,1,1,0,0,1,0,0.539,4.125,.932,6,10,40381,170,83,torf,10,,
