
Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
301,2015-09-11,MIA,WSN,W 2-1,30,25,2,5,1,0,0,2,3,0,4,0,1,1,0,3,0,0,-0.023,-1.641,1.126,4,16,17167,163,78,,0,none,dome
302,2015-09-11,NYY,TOR,L 5-11,38,36,5,9,1,0,1,5,1,0,12,0,0,1,1,0,0,0,-0.037,0.710,.313,6,12,40220,219,80,torf,3,,sunny
303,2015-09-11 (1),PHI,CHC,L 1-5,36,34,1,7,0,0,1,1,2,0,9,0,0,0,0,0,1,0,-0.259,-3.178,.765,8,14,,174,81,fromlf,6,,cloudy
304,2015-09-11 (2),PHI,CHC,L 3-7,34,31,3,5,3,0,0,3,2,0,9,1,0,0,0,1,0,0,-0.171,-1.179,.665,4,17,22538,176,73,fromrf,4,,cloudy
305,2015-09-11,PIT,MIL,W 6-3,38,31,6,9,1,0,0,6,3,0,6,2,1,1,1,1,0,0,0.314,2.358,1.088,8,17,28346,192,78,rtol,5,,sunny
306,2015-09-11,SEA,COL,L 2-4,38,32,2,5,1,0,1,2,6,1,11,0,0,0,1,1,0,0,-0.397,-2.116,1.404,9,14,19876,191,76,,1,,cloudy
307,2015-09-11,SFG,SDP,W 9-1,44,36,9,14,1,0,0,9,7,0,9,0,1,0,0,0,2,0,0.308,5.405,.750,11,13,41621,182,67,tocf,10,,sunny
308,2015-09-11,TBR,BOS,W 8-4,37,36,8,12,4,0,2,8,0,0,7,1,0,0,0,0,1,0,0.638,4.188,1.122,5,10,14796,206,72,,0,none,dome
309,2015-09-11,TEX,OAK,W 4-0,35,32,4,8,3,0,0,4,2,1,6,0,1,0,1,0,0,0,0.135,-0.090,.490,7,10,28133,140,87,ltor,5,,cloudy
310,2015-09-10,ATL,NYM,L 2-7,36,34,2,8,0,1,0,2,2,0,3,0,0,0,0,1,0,0,-0.274,-1.965,.862,7,15,22640,185,70,rtol,7,,overcast
311,2015-09-10,CIN,STL,W 11-0,43,36,11,13,4,0,2,11,5,0,6,0,0,2,1,0,0,0,0.219,7.288,.496,8,18,16363,196,81,,7,,cloudy
312,2015-09-10,CLE,DET,W 7-5,40,34,7,10,3,0,3,7,4,0,5,1,1,0,0,0,2,0,0.670,2.875,1.200,9,9,11166,191,73,fromcf,12,,sunny
313,2015-09-10,SDP,COL,L 3-4,35,30,3,6,0,0,1,3,3,0,14,0,0,2,1,1,0,0,-0.253,-0.888,1.484,5,14,21922,167,93,ltor,6,,cloudy
314,2015-09-10,SEA,TEX,W 5-0,34,31,5,9,3,0,1,5,2,0,7,0,1,0,1,1,0,0,0.103,1.341,.583,5,11,16842,144,69,ltor,3,,sunny
315,2015-09-09,LAA,LAD,W 3-2,32,29,3,7,3,1,0,3,1,0,4,1,0,1,0,1,0,0,0.175,-0.658,.936,5,12,42799,170,93,ltor,5,,cloudy
316,2015-09-09,ARI,SFG,W 2-1,33,31,2,7,2,0,1,2,2,1,9,0,0,0,1,0,0,1,-0.094,-1.829,.740,7,16,20576,169,76,,0,none,dome
317,2015-09-09,BOS,TOR,W 10-4,40,36,10,14,5,0,2,10,4,1,6,0,0,0,0,2,0,0,0.331,5.873,.374,6,13,34464,211,82,tocf,17,,cloudy
318,2015-09-09,CHW,CLE,L 4-6,36,35,4,7,1,0,3,4,1,0,11,0,0,0,1,0,1,0,-0.194,-0.197,1.133,5,12,11667,178,74,ltor,6,,sunny
319,2015-09-09,CIN,PIT,L 4-5,37,32,4,6,2,0,1,4,3,1,13,0,0,2,1,0,0,0,-0.299,-0.178,1.925,6,19,19620,184,75,rtol,6,,overcast
320,2015-09-09,DET,TBR,L 0-8,34,32,0,7,3,0,0,0,2,0,10,0,0,0,0,2,0,0,-0.278,-4.288,.804,7,12,25932,184,77,torf,7,,cloudy
321,2015-09-09,MIA,MIL,W 5-2,34,27,5,6,2,1,0,5,6,0,7,0,1,0,0,1,1,0,0.248,1.358,1.125,5,11,15316,163,77,,0,none,dome
322,2015-09-09,NYY,BAL,L 3-5,32,31,3,4,1,0,1,3,0,0,9,1,0,0,0,0,1,0,-0.284,-1.290,1.139,2,11,30038,181,81,rtol,16,,
323,2015-09-09,OAK,HOU,L 5-11,38,36,5,9,0,0,2,5,2,0,11,0,0,0,0,0,1,0,-0.131,0.620,.755,6,9,13387,218,82,torf,10,,sunny
324,2015-09-09,PHI,ATL,L 1-8,34,31,1,4,0,1,0,1,3,0,4,0,0,0,0,0,0,0,-0.187,-3.177,.578,6,16,15241,172,89,tocf,9,,cloudy
325,2015-09-09,SDP,COL,W 11-4,42,39,11,18,5,0,2,11,2,0,2,1,0,0,0,3,0,0,0.544,7.544,.696,7,18,22764,196,89,,5,,cloudy
Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
326,2015-09-09,SEA,TEX,W 6-0,35,31,6,9,0,0,2,6,4,0,6,0,0,0,0,2,1,0,0.223,2.339,.457,5,12,14330,146,73,fromlf,2,,sunny
327,2015-09-09,STL,CHC,W 4-3,32,29,4,5,1,1,0,4,3,0,8,0,0,0,0,0,1,0,0.362,0.215,1.314,4,17,43557,167,78,tocf,2,,
328,2015-09-09,WSN,NYM,L 3-5,35,33,3,7,2,0,2,3,2,0,11,0,0,0,0,0,0,0,-0.178,-1.349,.898,5,11,27530,157,89,torf,3,,
329,2015-09-08,LAA,LAD,L 4-6,37,33,4,6,2,0,1,3,4,0,9,0,0,0,2,2,0,0,-0.241,-0.116,.968,6,13,41086,192,91,torf,6,,cloudy
330,2015-09-08,ARI,SFG,L 2-6,31,30,2,5,0,0,1,2,0,0,8,0,0,1,0,0,0,0,-0.249,-2.308,.579,2,18,18683,169,78,,0,none,dome
331,2015-09-08,CHW,CLE,W 7-4,37,33,7,11,2,0,2,7,4,0,8,0,0,0,0,0,1,1,0.280,3.269,.381,6,9,11990,174,73,tocf,9,,
332,2015-09-08,CIN,PIT,L 3-7,39,35,3,8,1,1,0,3,2,0,13,2,0,0,0,0,0,0,-0.217,-1.177,.448,9,17,16151,199,89,rtol,6,,cloudy
333,2015-09-08,MIA,MIL,W 6-4,37,30,6,9,2,0,2,6,5,0,5,0,2,0,0,1,3,0,0.380,2.358,.697,7,16,14958,217,77,,0,none,dome
334,2015-09-08,KCR,MIN,W 4-2,31,29,4,6,3,0,0,4,2,0,4,0,0,0,0,1,0,0,0.111,-0.008,.552,3,11,31834,149,77,ltor,8,,overcast
335,2015-09-08,NYY,BAL,L 1-2,35,33,1,6,0,0,1,1,2,0,7,0,0,0,0,0,0,0,-0.540,-3.289,1.248,7,10,30785,178,86,rtol,10,,sunny
336,2015-09-08,OAK,HOU,W 4-0,33,31,4,8,0,0,2,4,2,0,7,0,0,0,0,0,1,0,0.122,0.107,.576,5,10,11364,153,87,torf,9,,sunny
337,2015-09-08,PHI,ATL,W 5-0,31,29,5,9,1,1,1,4,2,0,4,0,0,0,0,3,0,1,0.020,1.286,.638,2,14,15610,150,89,tolf,13,,sunny
338,2015-09-08,SDP,COL,W 2-1,36,30,2,7,3,0,1,2,4,0,8,0,2,0,0,1,0,0,0.195,-1.422,1.205,9,14,19112,160,85,ltor,10,,cloudy
339,2015-09-08,SEA,TEX,L 6-9,37,34,6,9,2,0,1,6,2,0,7,0,0,1,0,1,0,0,-0.092,1.884,.841,4,10,13389,192,69,tolf,3,,dome
340,2015-09-08,STL,CHC,L 5-8,39,33,5,8,2,1,1,5,5,0,12,1,0,0,0,2,0,0,-0.158,0.742,.659,7,15,42206,187,78,fromlf,8,,
341,2015-09-08,WSN,NYM,L 7-8,40,35,7,11,1,0,0,4,3,0,12,0,2,0,0,1,0,0,-0.165,2.650,1.347,6,16,27507,200,92,tocf,4,,sunny
342,2015-09-07,LAA,LAD,L 5-7,40,38,5,11,1,0,2,4,2,0,11,0,0,0,0,0,1,0,0.025,0.882,1.593,8,13,44488,232,89,torf,5,,sunny
343,2015-09-07,ARI,SFG,W 6-1,37,32,6,12,2,0,2,6,4,1,6,0,0,1,0,3,0,0,0.259,2.170,.459,7,14,28078,174,77,,0,none,dome
344,2015-09-07,BOS,TOR,W 11-4,42,37,11,17,4,0,2,11,1,0,3,1,2,1,0,1,0,0,0.346,6.875,.629,7,11,33659,168,91,tocf,13,,sunny
345,2015-09-07,CHW,CLE,L 2-3,36,29,2,3,0,1,0,2,5,0,9,1,0,1,0,0,1,0,-0.541,-2.198,1.501,7,12,14757,154,90,rtol,8,,cloudy
346,2015-09-07,CIN,PIT,W 3-1,31,27,3,4,0,0,0,2,3,0,8,0,0,1,3,2,0,1,0.113,-0.714,.598,4,12,19241,158,89,rtol,3,,cloudy
347,2015-09-07,DET,TBR,W 5-4,35,33,5,11,3,0,3,5,2,1,4,0,0,0,0,1,1,1,0.292,1.187,.910,6,9,27958,177,85,rtol,11,,cloudy
348,2015-09-07,MIA,MIL,L 1-9,32,32,1,6,0,0,0,1,0,0,6,0,0,0,0,1,0,0,-0.215,-3.097,.469,4,18,16804,181,74,,0,none,dome
349,2015-09-07,KCR,MIN,L 2-6,34,32,2,9,1,0,0,2,1,0,6,0,0,1,0,2,0,0,-0.282,-2.507,.761,5,10,36825,182,78,rtol,6,,
350,2015-09-07,NYY,BAL,W 8-6,39,37,8,12,1,0,3,8,2,0,8,0,0,0,1,0,0,0,0.687,4.190,1.074,7,10,31039,190,86,rtol,5,,sunny
