
Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
1,2013-09-30,TEX,TBR,L 2-5,33,32,2,7,3,0,0,2,1,0,4,0,0,0,0,0,1,1,-0.384,-2.488,1.169,4,9,42796,188,82,fromrf,8,,sunny
2,2013-09-29,ARI,WSN,W 3-2,34,31,3,7,0,0,0,3,1,0,4,0,1,1,2,0,0,0,0.273,-0.614,1.789,7,14,30420,149,74,,0,none,dome
3,2013-09-29,ATL,PHI,W 12-5,46,36,12,17,2,1,1,11,9,1,5,0,0,1,1,3,1,1,0.494,8.423,.598,10,20,42194,207,73,rtol,4,,cloudy
4,2013-09-29,BAL,BOS,W 7-6,39,33,7,10,5,0,0,6,6,0,6,0,0,0,0,1,0,0,0.483,3.009,1.224,8,10,44230,203,71,rtol,2,,cloudy
5,2013-09-29,CHW,KCR,L 1-4,35,31,1,6,0,0,1,1,4,0,8,0,0,0,1,0,0,0,-0.412,-3.531,1.276,7,10,22633,154,68,tocf,9,,cloudy
6,2013-09-29,CIN,PIT,L 2-4,33,30,2,6,3,0,0,2,2,0,5,0,1,0,0,2,0,0,-0.390,-2.026,1.135,4,21,40142,173,71,tocf,5,,overcast
7,2013-09-29,MIA,DET,W 1-0,34,32,1,6,0,0,0,0,2,0,13,0,0,0,0,0,0,0,-0.153,-2.497,1.528,7,10,28315,126,75,,0,none,dome
8,2013-09-29,LAD,COL,L 1-2,35,31,1,5,1,0,0,1,4,0,13,0,0,0,0,0,0,1,-0.631,-2.828,2.638,7,21,52396,188,85,tocf,5,,sunny
9,2013-09-29,MIN,CLE,L 1-5,34,32,1,5,0,0,0,1,1,0,16,1,0,0,0,0,1,0,-0.366,-3.400,.691,6,11,30935,168,68,rtol,9,,sunny
10,2013-09-29,NYM,MIL,W 3-2,29,27,3,3,0,0,0,2,0,0,8,0,1,1,1,0,3,0,0.273,-0.330,1.308,2,16,41891,143,69,fromrf,11,,cloudy
11,2013-09-29,SEA,OAK,L 0-9,36,32,0,5,0,0,0,0,4,0,10,0,0,0,0,0,0,0,-0.160,-4.005,.531,9,10,17081,188,56,,0,none,dome
12,2013-09-29,SFG,SDP,W 7-6,41,34,7,11,3,0,1,7,5,1,8,2,0,0,0,1,1,0,0.893,5.501,1.680,10,20,41495,197,67,torf,9,,
13,2013-09-29,STL,CHC,W 4-0,33,31,4,9,4,0,0,4,2,0,8,0,0,0,0,1,0,1,0.116,0.423,.559,5,17,44808,154,70,fromcf,8,,sunny
14,2013-09-29,TEX,LAA,W 6-2,35,32,6,10,3,0,2,6,2,0,6,0,1,0,0,1,2,0,0.262,2.010,1.033,5,9,40057,177,78,torf,16,,sunny
15,2013-09-29,TOR,TBR,L 6-7,44,36,6,12,2,0,0,6,7,0,7,0,0,1,0,2,0,0,-0.167,1.552,1.357,11,13,44551,202,66,rtol,5,,sunny
16,2013-09-28,ARI,WSN,L 0-2,34,32,0,5,2,0,0,0,2,0,7,0,0,0,0,0,0,0,-0.590,-4.065,1.326,7,13,29673,145,85,tolf,3,,sunny
17,2013-09-28,ATL,PHI,L 4-5,41,35,4,12,2,0,1,4,5,0,8,0,0,1,0,3,1,0,-0.360,-0.026,1.386,10,17,38171,211,70,fromcf,11,,cloudy
18,2013-09-28,BAL,BOS,W 6-5,37,35,6,12,2,0,1,6,2,0,8,0,0,0,0,1,0,0,0.627,2.008,1.354,7,13,36556,201,70,rtol,4,,cloudy
19,2013-09-28,CHW,KCR,W 6-5,36,33,6,9,2,0,4,6,3,0,8,0,0,0,2,1,0,1,0.254,1.973,.558,6,10,22235,178,78,fromrf,22,,cloudy
20,2013-09-28,CIN,PIT,L 3-8,41,32,3,5,1,0,0,3,8,0,9,1,0,0,0,0,0,0,0.051,-1.026,1.193,11,20,40707,204,77,,0,,sunny
