
Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
1201,2012-07-14,ATL,NYM,W 8-7,40,35,8,12,2,0,0,8,5,1,9,0,0,0,0,0,0,0,0.853,4.116,1.787,8,17,32565,211,89,rtol,9,,cloudy
1202,2012-07-14,CHC,ARI,W 4-1,33,31,4,9,2,0,0,3,1,0,5,0,1,0,1,1,0,0,0.127,0.161,.645,5,14,38068,158,83,fromrf,7,,sunny
1203,2012-07-14,COL,PHI,L 5-8,39,33,5,9,3,0,1,5,3,1,4,1,1,0,0,1,0,0,-0.122,-0.013,1.058,7,17,35151,196,91,fromlf,4,,
1204,2012-07-14,MIA,WSN,W 2-1,33,27,2,6,1,0,0,2,3,1,10,1,2,0,0,1,4,0,-0.085,-1.884,.963,7,13,28707,153,76,,0,none,dome
1205,2012-07-14,KCR,CHW,W 6-3,37,33,6,12,1,0,2,6,2,1,5,0,1,1,0,0,1,1,0.312,1.954,.912,7,11,24998,176,97,fromrf,1,,sunny
1206,2012-07-14,LAD,SDP,L 6-7,44,38,6,10,1,0,1,5,6,1,11,0,0,0,1,0,2,0,0.267,1.893,1.139,11,14,54014,214,75,tocf,6,,sunny
1207,2012-07-14,MIL,PIT,L 4-6,38,32,4,6,2,1,0,3,4,0,8,0,1,1,1,0,0,0,-0.106,-0.490,1.473,7,14,42029,203,87,fromrf,12,,cloudy
1208,2012-07-14,MIN,OAK,L 3-9,39,37,3,14,2,0,2,3,2,0,5,0,0,0,0,1,0,0,-0.126,-1.368,.402,9,9,39084,177,90,torf,11,,cloudy
1209,2012-07-14,NYY,LAA,W 5-3,31,30,5,8,1,0,2,5,1,0,6,0,0,0,0,0,1,1,0.210,0.873,.740,2,10,47789,173,85,rtol,6,,
1210,2012-07-14,SEA,TEX,W 7-0,38,32,7,8,2,0,1,7,5,0,5,1,0,0,1,1,0,0,0.318,3.358,.433,7,9,29951,144,82,tocf,2,,overcast
1211,2012-07-14,TBR,BOS,W 5-3,34,26,5,5,2,0,1,5,3,1,10,1,2,2,1,0,0,0,0.392,1.233,1.440,5,12,27311,196,72,fromrf,0,,dome
1212,2012-07-14,TOR,CLE,W 11-9,43,37,11,13,6,0,3,11,6,0,5,0,0,0,0,0,3,0,0.512,6.954,.496,8,9,32517,195,79,tocf,7,,sunny
1213,2012-07-15,ATL,NYM,W 6-1,35,30,6,8,3,0,1,6,4,0,5,0,0,1,0,1,0,0,0.193,2.116,.790,5,13,23382,160,87,rtol,5,,
1214,2012-07-15,BAL,DET,L 0-4,32,30,0,4,1,0,0,0,2,0,8,0,0,0,0,1,0,0,-0.469,-4.551,.772,5,10,30439,180,87,ltor,4,,
1215,2012-07-15,CHC,ARI,W 3-1,30,27,3,4,0,0,1,3,3,0,5,0,0,0,0,0,0,0,0.099,-0.838,.490,3,13,36659,165,84,rtol,9,,cloudy
1216,2012-07-15,CIN,STL,W 4-2,35,32,4,10,1,0,0,4,2,1,5,1,0,0,0,2,0,0,0.158,0.045,1.320,7,11,39280,161,88,rtol,9,,cloudy
1217,2012-07-15,COL,PHI,L 1-5,33,31,1,6,0,1,0,1,1,0,8,0,1,0,1,1,0,1,-0.360,-4.014,.886,5,14,25685,152,90,rtol,7,,cloudy
1218,2012-07-15,MIA,WSN,L 0-4,38,35,0,7,1,0,0,0,3,0,10,0,0,0,0,0,0,0,-0.388,-4.367,1.402,11,14,29889,180,75,,0,none,dome
1219,2012-07-15,KCR,CHW,L 1-2,36,36,1,11,2,0,0,1,0,0,4,0,0,0,0,2,1,0,-0.708,-3.550,1.979,8,12,25714,172,94,rtol,6,,sunny
1220,2012-07-15,LAD,SDP,L 2-7,37,34,2,7,2,0,0,2,3,2,6,0,0,0,1,1,1,0,-0.131,-2.107,1.018,8,14,39715,191,77,torf,8,,sunny
1221,2012-07-15,MIL,PIT,W 4-1,34,32,4,9,4,0,0,3,1,0,7,0,1,0,0,0,1,0,0.193,0.009,1.018,6,12,35430,153,85,ltor,8,,cloudy
1222,2012-07-15,MIN,OAK,L 4-9,37,36,4,10,1,0,0,4,0,0,6,0,0,1,1,1,0,0,-0.073,-0.368,.605,6,9,36853,194,89,ltor,5,,cloudy
1223,2012-07-15,NYY,LAA,L 8-10,39,34,8,12,0,0,4,8,5,0,5,0,0,0,0,1,0,1,0.110,3.358,1.276,4,10,46679,211,87,tolf,9,,
