
Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
601,2015-05-24,TOR,SEA,W 8-2,40,34,8,10,2,0,2,8,6,0,7,0,0,0,0,0,0,0,0.322,4.144,.708,8,10,37929,170,68,torf,5,,cloudy
602,2015-05-24,WSN,PHI,W 4-1,36,32,4,10,4,1,0,4,2,0,3,0,2,0,0,0,0,0,0.118,0.135,1.013,8,15,41044,165,76,tocf,8,,sunny
603,2015-05-25,LAA,SDP,W 4-3,39,36,4,12,3,0,0,3,3,2,11,0,0,0,0,1,3,1,0.281,0.621,1.327,9,10,38055,191,70,rtol,10,,cloudy
604,2015-05-25,BAL,HOU,W 4-3,28,27,4,6,0,0,2,4,1,0,3,0,0,0,0,2,0,0,0.218,-0.009,.988,0,11,28909,140,80,tolf,5,,sunny
605,2015-05-25,CHC,WSN,L 1-2,32,30,1,5,1,0,1,1,1,0,8,1,0,0,0,1,0,1,-0.675,-3.177,1.496,4,15,38463,159,72,tocf,13,,overcast
606,2015-05-25,CIN,COL,L 4-5,40,37,4,11,3,0,2,4,3,0,2,0,0,0,0,0,0,1,-0.209,-0.178,1.394,9,15,20516,179,72,rtol,13,,cloudy
607,2015-05-25,CLE,TEX,L 8-10,42,34,8,8,4,0,2,8,7,1,9,0,0,1,1,0,0,1,0.271,3.359,1.395,7,11,13614,212,81,torf,15,,
608,2015-05-25,LAD,ATL,W 6-3,40,34,6,11,1,0,3,6,5,0,9,1,0,0,0,1,0,0,0.321,2.439,1.414,10,14,44680,169,68,torf,5,,cloudy
609,2015-05-25,MIL,SFG,L 4-8,36,32,4,5,1,0,3,4,4,0,7,0,0,0,0,0,1,0,0.107,-0.219,.702,5,17,41969,195,71,,0,none,dome
610,2015-05-25,MIN,BOS,W 7-2,40,37,7,16,3,0,1,7,2,0,8,0,0,1,0,1,2,0,0.327,2.990,.319,9,9,29472,172,63,rtol,14,,
611,2015-05-25,NYM,PHI,W 6-3,34,30,6,8,0,0,3,6,3,0,9,1,0,0,0,1,1,0,0.465,2.474,.912,4,13,30946,187,81,tolf,15,,cloudy
612,2015-05-25,NYY,KCR,W 14-1,45,37,14,14,2,0,5,14,7,0,7,1,0,0,0,1,0,0,0.440,10.187,.157,7,12,36031,192,82,rtol,13,,sunny
613,2015-05-25,OAK,DET,W 4-0,35,33,4,9,2,1,0,4,1,0,6,0,0,1,0,0,0,0,0.085,0.108,.983,7,10,25380,160,59,torf,13,,overcast
614,2015-05-25,PIT,MIA,W 4-2,33,30,4,10,1,0,2,4,2,0,6,0,1,0,0,1,0,1,0.165,0.358,.702,5,13,20046,140,81,tocf,13,,
615,2015-05-25,TBR,SEA,L 1-4,39,35,1,8,3,0,1,1,3,0,7,1,0,0,0,0,0,0,-0.454,-3.289,1.491,11,10,10401,171,72,,0,none,dome
616,2015-05-25,TOR,CHW,W 6-0,34,30,6,7,1,0,2,6,4,0,4,0,0,0,0,1,0,0,0.302,2.143,.329,4,10,15168,130,66,torf,8,,dome
617,2015-05-26,BAL,HOU,L 1-4,33,29,1,5,1,0,0,1,3,0,5,0,0,1,1,3,2,0,-0.361,-3.509,1.330,5,10,21541,170,81,tolf,5,,sunny
618,2015-05-26,CHC,WSN,W 3-2,36,33,3,9,3,0,2,3,3,0,5,0,0,0,0,1,0,1,0.343,-0.869,1.258,7,13,30440,153,71,tocf,17,,sunny
619,2015-05-26,CIN,COL,W 2-1,35,28,2,5,2,0,0,2,5,0,5,0,2,0,0,0,0,0,-0.017,-1.526,1.319,8,12,22523,159,72,rtol,11,,
620,2015-05-26,CLE,TEX,L 3-4,39,32,3,5,2,0,2,3,5,0,8,1,0,1,1,0,0,0,-0.454,-1.641,1.596,9,12,11352,186,82,torf,17,,overcast
621,2015-05-26,LAD,ATL,W 8-0,33,30,8,11,4,0,1,8,3,1,2,0,0,0,0,2,0,1,0.278,4.439,.575,1,11,40667,158,65,torf,7,,cloudy
622,2015-05-26,MIL,SFG,L 3-6,37,34,3,8,1,0,1,3,2,0,7,0,0,1,0,0,0,0,-0.229,-1.218,.954,7,16,35492,187,74,rtol,20,,cloudy
623,2015-05-26,MIN,BOS,W 2-1,32,30,2,7,3,0,0,2,1,0,4,1,0,0,1,2,0,0,-0.152,-2.009,.952,6,10,23268,156,58,ltor,7,,overcast
