
Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
301,2015-05-01,CLE,TOR,W 9-4,41,36,9,13,2,0,3,9,4,1,4,0,1,0,1,0,0,0,0.584,4.875,.871,8,10,15088,157,55,ltor,7,,sunny
302,2015-05-01,MIA,PHI,W 4-3,40,35,4,13,5,0,0,4,4,2,4,0,0,1,1,2,1,0,0.270,0.969,1.706,12,16,18511,177,81,ltor,9,,cloudy
303,2015-05-01,HOU,SEA,W 4-3,32,29,4,9,0,0,3,4,3,0,8,0,0,0,0,3,1,0,0.084,0.108,.562,4,10,21834,170,81,,1,,cloudy
304,2015-05-01,KCR,DET,W 4-1,35,33,4,10,3,0,0,4,2,0,2,0,0,0,0,0,1,1,0.195,-0.011,.402,7,9,38186,167,72,rtol,7,,cloudy
305,2015-05-01,LAD,ARI,W 8-0,36,30,8,6,0,0,3,8,6,0,12,0,0,0,0,0,0,0,0.315,4.439,.375,4,14,50164,167,73,torf,7,,sunny
306,2015-05-01,MIN,CHW,W 1-0,31,28,1,7,0,0,0,0,3,0,6,0,0,0,0,2,1,0,-0.237,-3.008,1.199,6,9,22794,152,66,fromrf,9,,cloudy
307,2015-05-01,NYM,WSN,W 4-0,34,30,4,8,2,0,1,4,2,0,12,1,1,0,0,0,0,0,-0.062,0.475,.770,6,12,33178,149,53,tolf,10,,
308,2015-05-01,SDP,COL,W 14-3,45,39,14,14,2,0,0,13,4,0,4,1,0,1,3,0,2,0,0.261,10.546,.482,7,14,30186,206,70,ltor,15,,sunny
309,2015-05-01,SFG,LAA,W 3-2,36,31,3,6,1,0,0,3,3,1,6,0,1,1,1,0,0,1,0.304,-0.313,1.607,7,17,41507,184,59,tocf,11,,sunny
310,2015-05-01,TBR,BAL,W 2-0,32,30,2,4,1,0,0,2,2,0,9,0,0,0,1,1,0,1,-0.094,-2.289,.607,3,9,9945,139,72,,0,none,dome
311,2015-05-01,TEX,OAK,L 5-7,39,34,5,9,3,1,2,5,2,0,8,1,0,2,0,0,0,0,-0.066,0.401,.712,7,11,29700,191,78,fromlf,8,,sunny
312,2015-05-02,ATL,CIN,L 4-8,36,32,4,7,1,0,1,4,3,0,10,0,1,0,0,0,0,0,-0.199,0.034,.799,5,13,29515,154,74,ltor,4,,cloudy
313,2015-05-02,BOS,NYY,L 2-4,36,34,2,8,1,0,1,2,2,0,7,0,0,0,0,1,0,0,-0.435,-2.641,1.286,7,9,36611,164,46,fromcf,3,,cloudy
314,2015-05-02,CHC,MIL,L 1-6,35,32,1,5,0,0,1,1,3,0,18,0,0,0,0,0,0,0,-0.245,-3.176,.680,7,16,34878,185,73,tocf,5,,sunny
315,2015-05-02,CLE,TOR,L 4-11,40,33,4,6,1,0,0,4,6,0,6,0,0,1,2,0,2,1,-0.072,-0.642,.663,9,9,18008,203,61,fromcf,3,,sunny
316,2015-05-02,MIA,PHI,W 7-0,40,33,7,13,4,0,1,7,4,0,7,1,1,1,1,2,2,0,0.285,3.359,.582,9,14,33348,158,71,,0,none,dome
317,2015-05-02,HOU,SEA,W 11-4,41,38,11,14,4,0,5,11,3,1,4,0,0,0,1,1,1,0,0.581,7.106,.495,6,10,24435,158,79,rtol,13,,cloudy
318,2015-05-02,KCR,DET,L 1-2,31,31,1,5,0,0,1,1,0,0,3,0,0,0,1,1,0,1,-0.625,-3.508,1.228,3,9,38692,175,74,rtol,12,,
319,2015-05-02,LAD,ARI,W 6-4,37,35,6,12,3,0,2,6,2,0,9,0,0,0,0,0,0,1,0.456,2.440,1.098,7,14,43617,194,73,tocf,6,,sunny
320,2015-05-02,MIN,CHW,W 5-3,37,33,5,11,2,0,2,5,3,0,4,0,0,1,0,1,0,0,0.268,0.992,1.085,8,9,30551,185,74,rtol,8,,sunny
321,2015-05-02,NYM,WSN,L 0-1,33,31,0,6,1,0,0,0,2,0,10,0,0,0,0,0,0,0,-0.788,-3.968,1.441,6,12,39730,151,53,tolf,11,,sunny
322,2015-05-02,SDP,COL,W 4-2,37,32,4,8,2,0,0,4,4,1,11,1,0,0,1,0,0,0,0.246,0.543,1.050,9,14,28058,177,68,ltor,7,,cloudy
323,2015-05-02,SFG,LAA,W 5-4,37,33,5,11,1,0,2,5,2,0,8,0,2,0,0,0,2,0,0.253,1.403,.641,8,12,41287,156,64,tocf,9,,sunny
324,2015-05-02,TBR,BAL,L 0-4,32,31,0,4,2,0,0,0,1,0,7,0,0,0,0,0,0,0,-0.344,-4.289,.662,5,9,12789,153,72,,0,none,dome
325,2015-05-03,ATL,CIN,W 5-0,33,31,5,9,3,0,2,5,1,0,2,0,1,0,1,3,0,0,0.261,1.473,.400,4,13,30073,151,74,rtol,9,,cloudy
Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
326,2015-05-03,BOS,NYY,L 5-8,39,33,5,7,2,0,1,5,5,0,6,1,0,0,1,2,0,0,-0.248,0.359,.839,7,10,33198,232,58,tolf,14,,
327,2015-05-03,CHC,MIL,L 3-5,38,35,3,8,1,1,0,2,2,0,10,0,0,1,2,1,1,0,-0.189,-1.178,1.421,8,14,33398,181,78,,16,,cloudy
328,2015-05-03,CLE,TOR,W 10-7,41,31,10,13,5,0,1,10,7,1,4,0,1,2,0,2,0,0,0.720,5.873,.917,7,10,16128,186,72,ltor,6,,sunny
329,2015-05-03,MIA,PHI,L 2-6,34,31,2,6,1,0,0,2,2,0,10,0,0,1,0,0,2,1,-0.125,-2.096,.840,5,13,20461,165,72,,0,none,dome
330,2015-05-03,HOU,SEA,W 7-6,34,30,7,8,2,0,3,7,4,1,9,0,0,0,0,0,0,1,0.484,3.106,.573,3,9,25283,170,82,tolf,9,,cloudy
331,2015-05-03,KCR,DET,L 4-6,34,32,4,6,2,0,0,4,1,0,5,0,0,1,0,0,0,0,-0.277,-0.510,.637,3,10,38326,158,77,rtol,13,,cloudy
332,2015-05-03,MIN,CHW,W 13-3,47,45,13,19,1,1,2,12,1,0,8,1,0,0,3,1,0,0,0.364,8.992,.492,10,10,22423,200,76,fromrf,4,,cloudy
333,2015-05-03,NYM,WSN,L 0-1,34,32,0,5,1,0,0,0,2,0,6,0,0,0,0,0,0,0,-0.788,-3.966,1.895,7,15,41048,175,73,tolf,4,,sunny
334,2015-05-03,SDP,COL,W 8-6,35,31,8,7,2,0,3,8,1,0,4,3,0,0,0,0,1,0,0.733,4.546,.769,3,15,34197,192,67,ltor,11,,cloudy
335,2015-05-03,SFG,LAA,W 5-0,36,33,5,10,2,1,2,5,2,0,4,1,0,0,0,1,0,0,0.229,1.403,.420,7,11,41516,136,59,tocf,12,,cloudy
336,2015-05-03,TBR,BAL,L 2-4,36,33,2,7,2,0,1,2,3,0,8,0,0,0,1,1,0,0,-0.228,-2.289,1.111,7,12,16652,164,72,,0,none,dome
337,2015-05-03,TEX,OAK,L 1-7,42,31,1,4,1,0,0,1,9,0,13,1,0,1,1,0,1,0,-0.404,-3.601,1.025,14,9,36006,201,77,rtol,11,,sunny
338,2015-05-04,LAA,SEA,L 2-3,34,32,2,8,0,0,2,2,2,0,8,0,0,0,0,1,0,1,-0.464,-2.117,1.191,5,10,25024,156,64,tocf,8,,sunny
339,2015-05-04,ATL,PHI,L 2-5,38,34,2,8,0,1,0,2,4,0,5,0,0,0,0,1,0,0,-0.301,-1.965,1.037,9,17,17293,188,78,rtol,7,,cloudy
340,2015-05-04,BOS,TBR,L 1-5,34,33,1,7,3,2,0,1,1,0,7,0,0,0,0,1,0,0,-0.323,-3.641,.851,6,10,34541,190,78,tolf,23,,cloudy
341,2015-05-04,HOU,TEX,L 1-2,32,29,1,4,2,0,0,1,2,0,9,0,0,1,0,1,2,0,-0.508,-3.379,1.068,4,9,17597,156,77,tolf,14,,cloudy
342,2015-05-04,MIL,LAD,W 4-3,31,31,4,7,2,2,1,4,0,0,8,0,0,0,0,0,0,0,0.383,0.250,1.202,3,15,23374,171,71,,0,none,dome
343,2015-05-04,MIN,OAK,W 8-7,38,36,8,13,5,0,1,8,2,0,8,0,0,0,1,1,1,1,0.581,3.993,1.122,6,10,20605,190,71,fromlf,7,,cloudy
344,2015-05-04,SFG,SDP,W 2-0,33,30,2,8,1,0,0,2,3,0,5,0,0,0,0,1,3,0,-0.018,-1.596,.929,7,11,41278,152,55,tocf,14,,
345,2015-05-04,STL,CHC,W 10-9,40,33,10,11,2,0,1,10,4,0,6,1,1,1,0,1,0,0,0.800,6.214,1.389,6,15,41981,219,84,tolf,6,,sunny
346,2015-05-04,TOR,NYY,W 3-1,34,34,3,10,2,0,0,2,0,0,7,0,0,0,0,0,2,0,0.178,-0.857,1.506,7,12,19217,138,68,,0,none,dome
347,2015-05-04,WSN,MIA,W 6-4,39,34,6,12,1,0,1,6,4,0,5,0,0,1,0,1,0,0,0.674,2.136,1.638,9,15,24731,162,82,torf,8,,sunny
348,2015-05-05,LAA,SEA,W 5-4,35,31,5,8,0,0,2,5,4,1,4,0,0,0,0,1,0,0,0.634,1.340,1.186,6,10,33394,157,64,rtol,8,,cloudy
349,2015-05-05,ATL,PHI,W 9-0,40,33,9,12,0,0,2,8,5,0,5,1,1,0,1,3,0,0,0.277,5.473,.272,7,10,14451,143,78,rtol,12,,cloudy
350,2015-05-05,BOS,TBR,W 2-0,32,29,2,5,1,0,2,2,3,0,6,0,0,0,1,0,1,0,-0.155,-2.126,.807,6,9,33688,146,57,fromrf,13,,
Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
351,2015-05-05,CHW,DET,W 5-2,32,27,5,6,1,1,0,5,5,0,3,0,0,0,0,2,0,1,0.338,1.268,.970,3,10,16351,157,53,ltor,11,,overcast
352,2015-05-05,HOU,TEX,L 1-7,31,30,1,3,1,0,1,1,1,0,9,0,0,0,0,0,0,0,-0.125,-3.380,.468,3,10,20951,161,73,,0,none,dome
353,2015-05-05,KCR,CLE,W 5-3,32,29,5,6,0,2,1,5,1,0,9,1,1,0,0,0,0,0,0.198,0.991,.749,3,9,29099,146,73,rtol,8,,
354,2015-05-05,MIL,LAD,L 2-8,33,30,2,3,1,0,0,1,3,0,8,0,0,0,1,1,0,0,-0.198,-2.218,.535,4,16,23356,192,68,,0,none,dome
355,2015-05-05,MIN,OAK,L 1-2,33,32,1,5,0,0,0,1,1,0,9,0,0,0,1,0,0,1,-0.661,-3.510,1.716,5,9,18135,163,67,rtol,16,,
356,2015-05-05,NYM,BAL,W 3-2,30,29,3,7,3,0,0,3,1,0,5,0,0,0,0,1,0,1,0.102,-0.526,.739,3,11,20534,139,70,tolf,15,,
357,2015-05-05,PIT,CIN,L 1-7,37,29,1,3,0,0,1,1,7,0,7,1,0,0,0,1,0,0,-0.278,-3.099,.873,9,13,16822,170,73,fromrf,7,,cloudy
358,2015-05-05,SFG,SDP,W 6-0,37,32,6,10,2,0,1,4,4,0,5,0,1,0,1,1,0,1,0.291,2.403,.413,7,12,41358,145,57,tocf,16,,cloudy
359,2015-05-05,STL,CHC,W 7-4,39,33,7,12,3,0,1,7,2,0,2,3,0,1,1,2,0,0,0.520,3.216,1.202,8,16,41613,193,82,tolf,5,,cloudy
360,2015-05-05,TOR,NYY,L 3-6,37,34,3,8,4,0,1,3,3,0,6,0,0,0,0,1,0,0,-0.267,-1.339,.541,7,10,21519,174,68,,0,none,dome
