
Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
32,2015-10-03,TEX,LAA,L 10-11,43,40,10,13,2,0,3,10,3,0,9,0,0,0,1,1,2,1,0.576,5.399,1.347,6,12,37271,246,71,fromlf,4,,sunny
33,2015-10-02,ARI,HOU,L 5-21,41,37,5,11,5,0,1,5,3,0,7,1,0,0,2,1,0,0,-0.084,0.692,.260,9,20,33218,232,91,rtol,12,,sunny
34,2015-10-02,ATL,STL,W 4-0,40,34,4,9,1,1,1,4,4,0,8,2,0,0,2,1,0,0,0.043,0.473,.626,12,18,24481,178,61,rtol,10,,overcast
35,2015-10-02,CHW,DET,W 2-1,30,27,2,5,1,0,0,2,1,0,1,2,0,0,0,1,0,0,-0.096,-1.731,.997,4,9,18030,133,57,torf,19,,
36,2015-10-02,CLE,BOS,W 8-2,41,34,8,12,4,0,1,8,7,0,8,0,0,0,0,1,1,0,0.325,3.874,.650,9,11,28273,180,54,fromrf,20,,
37,2015-10-02,LAD,SDP,W 6-2,34,31,6,8,1,0,0,6,3,0,8,0,0,0,1,1,0,0,0.284,2.439,.540,4,11,45564,152,76,torf,7,,sunny
38,2015-10-02,MIL,CHC,L 1-6,33,32,1,4,0,0,1,1,1,0,10,0,0,0,1,0,1,0,-0.293,-3.219,.559,5,16,30044,181,64,,0,none,dome
39,2015-10-02,MIN,KCR,L 1-3,33,31,1,6,0,0,0,1,2,0,7,0,0,0,0,2,0,0,-0.510,-3.509,1.176,5,9,31534,175,60,fromlf,11,,sunny
40,2015-10-02,SEA,OAK,L 2-4,35,31,2,7,1,0,1,2,2,0,4,1,1,0,0,2,0,0,-0.297,-2.116,1.394,6,12,26130,165,60,,0,none,dome
41,2015-10-02,SFG,COL,L 3-9,38,35,3,8,3,1,0,3,3,0,9,0,0,0,1,1,0,0,-0.025,-1.047,.295,8,18,41505,180,64,torf,11,,sunny
42,2015-10-02,TBR,TOR,L 4-8,35,30,4,6,1,0,1,4,1,0,8,3,1,0,0,1,0,1,0.084,-0.288,1.005,4,9,13668,187,72,,0,none,dome
43,2015-10-02,TEX,LAA,L 1-2,34,31,1,3,1,0,1,1,3,0,5,0,0,0,2,0,3,1,-0.636,-3.602,1.421,6,13,47219,169,77,torf,11,,sunny
44,2015-10-01,ARI,COL,W 8-6,37,34,8,12,3,1,1,7,2,1,5,0,0,1,0,1,2,0,0.819,4.168,1.256,5,16,20826,190,104,ltor,11,,sunny
45,2015-10-01,ATL,WSN,L 0-3,35,33,0,7,0,0,0,0,2,0,9,0,0,0,0,1,1,0,-0.553,-3.966,1.324,8,16,37790,167,66,fromcf,8,drizzle,
46,2015-10-01,BAL,TOR,W 6-4,42,32,6,8,2,0,2,6,8,0,5,2,0,0,0,0,2,0,0.244,1.990,.521,12,11,18257,192,56,rtol,1,,
47,2015-10-01,CHW,KCR,L 4-6,37,33,4,8,1,0,0,3,4,0,6,0,0,0,1,0,0,1,-0.221,-0.199,1.272,6,12,12825,201,57,torf,19,,cloudy
48,2015-10-01,CIN,CHC,L 3-5,39,39,3,12,4,0,0,3,0,0,10,0,0,0,2,1,1,0,-0.308,-1.176,1.196,9,16,26352,175,55,ltor,17,,overcast
49,2015-10-01,CLE,MIN,L 2-4,34,32,2,7,2,0,1,2,1,0,9,0,1,0,0,1,0,0,-0.212,-2.641,1.300,5,9,22644,167,58,fromcf,22,,
50,2015-10-01,NYY,BOS,W 4-1,34,29,4,8,1,0,3,4,5,0,8,0,0,0,0,2,1,1,0.071,0.190,.613,6,11,40033,190,60,ltor,13,rain,
Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
51,2015-10-01,PHI,NYM,W 3-0,30,28,3,5,2,0,2,3,1,0,7,0,1,0,0,0,1,0,0.005,-0.714,.596,3,12,13238,143,60,fromrf,17,,
52,2015-10-01,SDP,MIL,W 3-1,33,25,3,6,0,0,1,3,7,0,5,0,1,0,0,2,0,1,0.093,-0.456,.853,6,14,22129,185,82,ltor,10,,cloudy
53,2015-10-01,SFG,LAD,L 2-3,32,32,2,5,1,0,0,2,0,0,3,0,0,0,0,0,0,0,-0.440,-2.047,1.145,3,17,41027,153,70,rtol,7,,
54,2015-10-01,TBR,MIA,W 4-1,39,39,4,16,2,0,1,4,0,0,10,0,0,0,0,1,0,0,0.096,0.188,.782,11,10,9657,149,72,,0,none,dome
55,2015-10-01,TEX,LAA,W 5-3,37,29,5,8,3,0,0,5,7,1,6,0,0,1,0,2,2,0,0.248,0.911,1.175,8,12,32338,194,76,ltor,11,,cloudy
56,2015-09-30,LAA,OAK,L 7-8,43,37,7,13,1,0,5,7,6,0,3,0,0,0,1,2,1,0,0.260,2.884,1.638,9,15,34033,219,88,tocf,7,,sunny
57,2015-09-30,ARI,COL,W 3-1,38,30,3,8,3,1,0,3,6,0,7,0,0,2,0,0,0,0,0.059,-0.830,1.246,11,16,18529,178,105,ltor,10,,sunny
58,2015-09-30,ATL,WSN,W 2-0,32,29,2,6,1,0,0,2,1,0,1,1,1,0,0,0,1,0,-0.007,-1.525,.564,6,15,13860,132,78,ltor,12,,cloudy
59,2015-09-30 (1),BAL,TOR,L 2-15,35,33,2,7,2,1,1,2,2,0,10,0,0,0,0,1,1,0,-0.209,-2.507,.528,6,15,,197,71,rtol,4,,
60,2015-09-30 (2),BAL,TOR,W 8-1,36,35,8,11,3,0,4,8,1,0,5,0,0,0,0,0,0,0,0.050,3.992,.626,4,11,26330,143,68,fromrf,4,,overcast
61,2015-09-30,CIN,CHC,L 3-10,32,28,3,4,2,0,0,3,1,0,10,0,0,3,0,0,0,0,-0.210,-1.177,.541,2,14,21397,180,64,ltor,11,,overcast
62,2015-09-30 (1),CLE,MIN,L 1-7,36,34,1,8,1,0,0,1,2,0,10,0,0,0,0,0,2,0,-0.269,-3.643,.598,8,9,,185,62,fromrf,15,,overcast
63,2015-09-30 (2),CLE,MIN,W 10-2,39,36,10,12,3,0,2,9,3,1,8,0,0,0,1,0,1,1,0.315,5.874,.469,5,9,10228,172,61,rtol,24,,cloudy
64,2015-09-30,PHI,NYM,W 7-5,39,30,7,8,2,0,0,5,6,0,8,2,1,0,0,0,0,0,0.488,3.286,1.181,8,18,15201,239,71,fromcf,11,,overcast
65,2015-09-30 (1),PIT,STL,W 8-2,38,31,8,9,3,0,2,8,5,1,9,1,1,0,1,1,1,0,0.384,4.358,.571,6,13,29747,164,61,fromrf,10,,
66,2015-09-30 (2),PIT,STL,L 1-11,32,31,1,6,3,0,0,1,1,0,7,0,0,0,0,2,0,0,-0.163,-3.096,.259,4,21,34729,175,61,torf,9,,
67,2015-09-30,SDP,MIL,L 0-5,34,29,0,6,1,0,0,0,5,0,9,0,0,0,0,2,0,1,-0.312,-3.888,.697,7,17,30514,180,77,,6,,sunny
68,2015-09-30,SEA,HOU,L 6-7,41,38,6,12,0,0,2,5,2,0,9,1,0,0,1,1,0,0,0.050,1.883,1.666,8,12,14257,209,60,tocf,3,,overcast
69,2015-09-30,SFG,LAD,W 5-0,33,29,5,8,1,0,2,5,4,0,10,0,0,0,0,2,3,1,0.163,1.404,.412,4,9,41112,155,65,rtol,3,,
70,2015-09-30,TBR,MIA,W 6-4,37,31,6,10,2,0,1,6,5,0,8,0,0,1,0,2,0,0,0.297,2.187,.913,7,10,9431,173,72,,0,none,dome
71,2015-09-30,TEX,DET,W 6-2,34,31,6,9,1,0,3,6,3,0,3,0,0,0,0,0,0,1,0.372,1.911,.387,4,11,28633,193,89,ltor,5,,sunny
72,2015-09-29,LAA,OAK,W 8-1,40,37,8,14,4,1,0,8,3,0,4,0,0,0,0,1,1,0,0.282,4.340,.372,8,14,33470,173,79,,2,,sunny
73,2015-09-29,ATL,WSN,W 2-1,29,26,2,5,0,0,2,2,1,0,7,1,1,0,0,1,0,1,-0.007,-1.527,.875,3,14,15272,150,74,rtol,2,,
74,2015-09-29,CHW,KCR,W 4-2,35,32,4,10,1,0,1,4,3,0,5,0,0,0,0,2,0,0,0.072,0.269,.801,7,12,13024,168,59,ltor,15,,overcast
75,2015-09-29,CIN,CHC,L 1-4,31,30,1,3,1,0,0,1,1,0,7,0,0,0,1,1,0,0,-0.286,-3.177,.522,3,15,18168,168,66,ltor,6,,overcast
Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
76,2015-09-29,NYY,BOS,L 4-10,36,34,4,7,2,0,1,4,1,0,9,1,0,0,1,1,1,0,-0.130,-0.287,.771,5,9,38512,177,75,rtol,12,,
77,2015-09-29,PHI,NYM,W 4-3,34,34,4,12,0,0,1,4,0,0,6,0,0,0,0,0,0,1,0.150,0.286,.547,6,15,15227,166,77,tocf,2,,
78,2015-09-29,SDP,MIL,L 3-4,36,34,3,9,1,1,0,3,2,0,10,0,0,0,1,2,0,0,-0.317,-0.887,1.361,6,17,36047,176,76,ltor,11,,sunny
79,2015-09-29,SEA,HOU,W 6-4,36,31,6,9,1,0,1,6,3,0,10,0,0,2,0,0,1,0,0.483,2.340,1.280,6,13,15331,190,64,tocf,2,,sunny
80,2015-09-29,SFG,LAD,L 0-8,29,28,0,1,0,0,0,0,1,0,13,0,0,0,0,0,0,0,-0.338,-4.045,.630,2,15,41862,163,61,tocf,9,,
81,2015-09-29,TBR,MIA,W 4-2,34,30,4,6,2,0,2,4,2,0,7,1,0,1,1,0,0,0,0.250,0.186,1.051,6,12,9150,147,72,,0,none,dome
82,2015-09-29,TEX,DET,W 7-6,39,33,7,9,3,1,1,6,4,1,6,0,1,1,4,1,0,1,0.334,2.910,1.074,8,13,28729,193,87,ltor,7,,sunny
83,2015-09-28,LAA,OAK,W 5-4,35,28,5,7,2,0,1,5,5,1,5,0,1,1,1,0,1,0,0.462,3.162,1.332,6,11,31858,203,80,torf,4,,sunny
84,2015-09-28,BAL,TOR,L 3-4,32,31,3,4,0,0,1,3,1,0,5,0,0,0,0,0,0,0,-0.235,-1.508,.873,2,11,19093,156,73,rtol,3,,cloudy
85,2015-09-28,CLE,MIN,L 2-4,33,33,2,6,0,1,1,2,0,0,7,0,0,0,0,0,0,0,-0.429,-2.640,1.126,4,10,10007,179,78,tolf,10,,cloudy
86,2015-09-28,NYY,BOS,L 1-5,38,34,1,9,2,0,0,1,2,0,6,0,1,1,1,1,0,0,-0.318,-3.290,.969,10,9,39476,176,75,rtol,9,,
87,2015-09-28,PIT,STL,L 0-3,43,33,0,6,2,0,0,0,10,1,8,0,0,0,1,0,1,0,-0.562,-4.097,1.816,16,18,30198,214,71,fromlf,6,,
88,2015-09-28,SEA,HOU,L 2-3,31,29,2,4,0,0,1,2,2,0,12,0,0,0,0,1,0,1,-0.495,-2.117,1.385,2,12,13935,175,63,,1,,sunny
89,2015-09-28,TEX,DET,L 4-7,40,36,4,10,2,0,1,4,4,0,7,0,0,0,0,1,0,0,-0.154,-0.599,.809,9,14,27847,217,87,ltor,9,,cloudy
90,2015-09-28,WSN,CIN,W 5-1,37,34,5,12,3,0,2,5,2,0,7,0,0,1,1,0,0,1,0.134,1.134,.752,8,11,24420,157,80,rtol,2,,
91,2015-09-27,LAA,SEA,W 3-2,31,29,3,9,1,0,1,3,0,0,2,0,2,0,0,2,0,0,0.209,-0.659,1.076,4,14,35243,154,90,torf,5,,sunny
92,2015-09-27,BOS,BAL,W 2-0,30,29,2,8,0,0,1,1,1,0,7,0,0,0,1,2,0,0,-0.068,-2.127,.616,4,9,33306,148,64,rtol,6,,sunny
93,2015-09-27,CHC,PIT,W 4-0,36,32,4,9,1,0,1,4,3,0,6,1,0,0,0,0,0,1,0.078,0.286,.761,8,13,40617,172,68,rtol,3,,sunny
94,2015-09-27,CIN,NYM,L 1-8,35,34,1,7,3,0,0,1,1,0,11,0,0,0,1,1,0,0,-0.164,-3.177,.306,7,14,24621,169,73,rtol,8,,cloudy
95,2015-09-27,COL,LAD,W 12-5,43,36,12,15,2,0,1,12,4,1,5,0,2,1,0,1,0,0,0.545,7.616,.826,7,18,32870,201,87,tocf,3,,sunny
96,2015-09-27,DET,MIN,L 1-7,36,33,1,7,4,0,0,1,3,0,6,0,0,0,0,1,0,0,-0.146,-3.289,.376,8,13,33517,177,69,rtol,7,,cloudy
97,2015-09-27,MIA,ATL,W 9-5,39,37,9,11,3,0,3,9,1,0,5,0,1,0,3,0,3,0,0.515,5.357,.748,6,13,27702,170,76,,0,none,dome
98,2015-09-27,HOU,TEX,W 4-2,33,32,4,8,2,0,1,3,1,0,7,0,0,0,1,1,1,0,0.078,0.108,.888,5,13,36084,181,73,,0,none,dome
99,2015-09-27,KCR,CLE,W 3-0,33,32,3,9,1,0,0,3,1,0,6,0,0,0,0,0,0,1,0.014,-1.008,.684,6,10,36339,173,77,rtol,5,,cloudy
100,2015-09-27,NYY,CHW,W 6-1,45,36,6,13,3,0,1,5,6,0,10,1,0,2,2,0,0,1,0.100,2.188,.900,15,13,38690,200,65,fromlf,11,,cloudy
Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
101,2015-09-27,OAK,SFG,L 4-5,37,33,4,8,2,1,0,4,3,0,7,1,0,0,0,2,0,0,-0.381,-0.378,1.405,6,13,36067,191,74,torf,6,,
102,2015-09-27,SDP,ARI,L 2-4,36,30,2,5,1,1,0,2,5,1,11,0,1,0,0,1,0,0,-0.260,-1.888,1.471,7,16,27115,204,83,ltor,8,,sunny
103,2015-09-27,STL,MIL,L 4-8,40,36,4,10,2,1,2,3,4,0,6,0,0,0,1,2,0,0,0.052,-0.258,.987,9,20,45021,190,73,tocf,6,,
104,2015-09-27,TOR,TBR,W 5-4,38,35,5,10,4,0,2,5,3,0,4,0,0,0,0,1,1,0,0.465,0.761,1.547,7,14,47287,175,67,tolf,8,,sunny
105,2015-09-27,WSN,PHI,L 5-12,36,34,5,9,2,0,2,5,1,0,5,0,0,1,0,1,0,0,0.130,0.652,.766,4,20,28661,182,69,fromrf,6,,
106,2015-09-26,LAA,SEA,W 3-2,34,30,3,9,0,1,2,3,2,0,10,0,0,1,0,0,0,1,0.130,-0.659,1.314,7,9,37866,173,82,torf,4,,sunny
107,2015-09-26,BOS,BAL,W 8-0,40,35,8,8,4,0,0,4,5,0,10,0,0,0,3,0,0,0,0.040,3.875,.705,8,9,36316,176,60,fromcf,16,,
108,2015-09-26,CHC,PIT,L 0-4,34,31,0,4,1,0,0,0,3,0,9,0,0,0,0,0,0,0,-0.399,-4.177,.818,7,18,41150,178,68,fromrf,6,,cloudy
109,2015-09-26,CIN,NYM,L 2-10,40,39,2,13,2,0,0,2,1,0,8,0,0,0,0,1,0,0,-0.081,-2.178,.490,11,17,32293,177,68,ltor,11,,overcast
110,2015-09-26,COL,LAD,W 8-6,39,37,8,16,3,1,2,8,1,1,6,0,1,0,1,3,0,0,0.395,3.614,1.198,7,16,40322,179,82,tolf,4,,sunny
111,2015-09-26,DET,MIN,L 2-6,37,35,2,11,2,0,0,2,1,0,7,0,1,0,0,2,0,0,-0.275,-2.288,1.394,8,10,32753,182,70,fromlf,11,,cloudy
112,2015-09-26,MIA,ATL,W 6-2,38,28,6,9,1,0,1,6,7,2,4,0,2,1,0,0,0,1,0.041,2.357,.876,8,16,24449,175,84,tolf,9,,cloudy
113,2015-09-26,HOU,TEX,W 9-7,40,33,9,10,0,0,6,9,4,0,3,1,1,1,1,0,0,1,0.439,5.108,.889,7,10,35736,201,73,,0,none,dome
114,2015-09-26,KCR,CLE,L 5-9,36,33,5,7,2,1,1,5,1,0,3,2,0,0,0,1,0,0,0.055,0.489,.819,4,10,38167,183,81,fromrf,9,,sunny
115,2015-09-26,NYY,CHW,W 2-1,34,29,2,7,2,0,0,2,5,1,7,0,0,0,0,1,3,1,-0.052,-1.812,1.202,8,13,39134,164,66,fromcf,8,,cloudy
